fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg,num_emergencias,total_afectados,hectareas_cultivo_perdidas,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,lat,lon,month_sin,month_cos
2021-01,AMAZONAS,BAGUA,-0.19765629363686263,0.15665021692934916,0.36064566402993553,0.21319378454282423,-0.013940982885385566,-0.9454284420556035,-0.2026097393619924,0.43420374962464825,-0.029450803550156873,0.5438537431076027,0.554373388351352,0.4690321144374436,0.2046445354743614,-5.63888888888889,-78.5311111111111,0.49999999999999994,0.8660254037844387
2021-02,AMAZONAS,BAGUA,-0.18703298848741773,-0.3934725878266924,0.36064566402993553,0.03694268001832616,-0.013940982885385566,-0.9520261610186087,-0.2662864500078492,0.3926741486494401,-0.478103657259137,0.7286457922794207,1.2846169883950782,0.6504968503126942,0.07409122435477296,-5.63888888888889,-78.5311111111111,0.8660254037844386,0.5000000000000001
2021-03,AMAZONAS,BAGUA,-0.187613950487778,-0.32470723723218736,3.7179515865193187,-0.08382196567438548,-0.013940982885385566,-1.1532565893902709,0.49783407774243277,0.539412072095175,0.3787220934332018,0.4308404237793837,0.5510313123786119,0.4897709413946151,-0.10868341121265065,-5.63888888888889,-78.5311111111111,1.0,6.123233995736766e-17
2021-04,AMAZONAS,BAGUA,-0.19184667363325994,-0.45364226959688453,0.05543603471271893,-0.06750241895915418,-0.013940982885385566,-0.9355318636110952,-0.42547822662249124,0.47573335059985644,0.09114573419492686,0.5362177080178581,0.6780301993427378,0.4975480015035545,0.36130850881786714,-5.63888888888889,-78.5311111111111,0.8660254037844387,-0.4999999999999998
2021-05,AMAZONAS,BAGUA,-0.19056025777531935,-0.307515899583561,1.581484181298802,0.05326222673355746,-0.013940982885385566,-1.2786132496873723,-0.5846700032371334,0.29300310630894094,-0.28751052767599816,0.5850883325922231,0.8100422002659742,0.5947612528652959,0.48315826586281635,-5.63888888888889,-78.5311111111111,0.49999999999999994,-0.8660254037844387
2021-06,AMAZONAS,BAGUA,-0.19010378763217914,-0.23875054898905576,2.802322698567669,-0.03812723487173783,-0.013135565614364467,-1.562315165096601,-0.5740572181294906,0.1407279027331778,-0.29847384928918835,0.4858198764255443,0.6680039714245175,0.4197774004141614,0.44834404956425944,-5.63888888888889,-78.5311111111111,1.2246467991473532e-16,-1.0
2021-07,AMAZONAS,BAGUA,-0.1906847496325394,-0.26453755546199526,1.8866938106160187,0.04347049870441868,-0.013940982885385566,-1.2819121091688748,-0.6518843089188712,-0.08906922266297349,-0.5809902139367603,0.4598573571204126,0.7699372885930925,0.21757383758173918,0.866114645146942,-5.63888888888889,-78.5311111111111,-0.4999999999999997,-0.8660254037844388
2021-08,AMAZONAS,BAGUA,-0.19251063020510023,0.17384155457797548,0.6658552933471521,-0.06423850961610791,-0.013940982885385566,-0.8299683602030105,-0.5669820280577287,-0.02262186110264052,-0.8871198866742793,0.6461766133101798,1.2445120767221958,0.42366593046863094,0.6050080229077656,-5.63888888888889,-78.5311111111111,-0.8660254037844385,-0.5000000000000004
2021-09,AMAZONAS,BAGUA,-0.19334057591990061,0.2941809181183597,0.6658552933471521,0.22951333125805554,-0.013940982885385566,-0.2559668104215468,-0.4219406315866103,0.12411606234309445,-0.6703834517058431,0.6354861641845374,0.8768837197207773,0.49106711807943826,0.6137115769824045,-5.63888888888889,-78.5311111111111,-1.0,-1.8369701987210297e-16
2021-10,AMAZONAS,BAGUA,-0.19176367906177988,0.3027765869426727,1.581484181298802,0.04673440804746494,-0.013940982885385566,-0.26256452938455194,-0.15308340885965926,0.45081559001473165,-0.40136040596681166,0.7286457922794207,1.0874345060034085,0.6193886098769372,0.2655694139968358,-5.63888888888889,-78.5311111111111,-0.8660254037844386,0.5000000000000001
