fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg,num_emergencias,total_afectados,hectareas_cultivo_perdidas,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,lat,lon,month_sin,month_cos,nlp_sentiment,nlp_news_count,produccion_t_lag1,produccion_t_lag3,produccion_t_lag6,nlp_sentiment_lag1,nlp_sentiment_lag3,nlp_sentiment_lag6
2021-07,APURIMAC,ABANCAY,-0.1982372556372229,-0.6083643084345212,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.4104028048419906,-0.7049482344570851,-1.0968542063280224,-0.4106370627164333,-1.0551320046849042,-0.9361924954907618,-1.0021284228369098,-0.2566438304815173,-13.6288888888889,-72.8861111111111,-0.4999999999999997,-0.8660254037844388,0.04259153803465178,-1.9352089621884798,-0.2098525875538143,-0.2122761802429443,-0.1995140332759382,1.7648228323455852,-0.6505023839765752,0.46828408671604455
2021-08,APURIMAC,ABANCAY,-0.2131762785036297,-0.7974690225694107,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.5588514815096102,-0.6978730443853233,-1.0137950043776065,-0.5472569166654079,-0.926846615177196,-0.6654843416988082,-0.9476890020743346,-0.0738691949140937,-13.6288888888889,-72.8861111111111,-0.8660254037844385,-0.5000000000000004,1.8326621304957291,-1.541873807272122,-0.1957781811445066,-0.19840632637327837,-0.21623807298422634,0.01796117429393436,1.7284771286374705,-0.01296401833654893
2021-09,APURIMAC,ABANCAY,-0.2015570384964244,-0.5567902954886425,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.126700889432762,-0.5705196230936096,-0.8338334001517046,-0.4494303545784875,-0.80925167479513,-0.6370766959305172,-0.9723163590859756,0.1002018865786906,-13.6288888888889,-72.8861111111111,-1.0,-1.8369701987210294e-16,0.14338247359963177,-0.7552034974394067,-0.21068049381318527,-0.2122761802429443,-0.1995140332759382,1.7573771924915949,1.704048867597793,2.3863863908849163
2021-10,APURIMAC,ABANCAY,-0.2140062242184301,-0.4966206137184503,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.8689442727708608,-0.2061473343978733,-0.6787895565109278,-0.3516037924915672,-0.7145648396822979,-0.0104374510417362,-1.0112016596306723,0.0131663458322983,-13.6288888888889,-72.8861111111111,-0.8660254037844386,0.5000000000000001,0.06557894439157703,-0.7552034974394067,-0.19908980618199074,-0.19840632637327837,-0.21384892445447093,0.11589997545027282,0.010726227347422027,-0.6442046495233759
2021-11,APURIMAC,ABANCAY,-0.2148361699332305,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.064022559284211,0.1122362188314108,-0.6427972356657476,-0.0859540764796703,-0.8184149169028236,-0.4382231755524771,-0.9930551860431472,-0.0999798571380114,-13.6288888888889,-72.8861111111111,-0.5000000000000004,0.8660254037844384,0.24712051254370476,0.8181371222260241,-0.21150840007255636,-0.2130920539999834,-0.20031041611919,0.04029809385590629,1.6968314268360702,1.6268835995409006
2021-12,APURIMAC,ABANCAY,-0.2189858985072324,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.2487586902483596,-0.0717187230343977,-0.5237457128701513,0.1442756773973057,-0.8199421239207725,-0.575248290434824,-0.9723163590859756,-0.1870153978844037,-13.6288888888889,-72.8861111111111,-2.4492935982947064e-16,1.0,0.5483144778870075,-0.36186834252304906,-0.2123363063319274,-0.20166982140143505,-0.21384892445447093,0.2167024842427615,0.10566333275162315,1.603563206785048
2022-01,APURIMAC,ABANCAY,-0.1990672013520232,-0.4536422695968845,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.0244362455061787,0.8798943416175738,-0.5292829930001789,0.2901721880959032,-0.8688127484951376,-0.3747237320704141,-1.0876760840352422,-0.1434976275112075,-13.6288888888889,-72.8861111111111,0.4999999999999999,0.8660254037844387,1.2444202960287698,-0.5585359199812279,-0.2164758376287826,-0.2139079277570226,-0.20031041611919,0.5093734046573167,0.0323785496325907,-0.01296401833654893
2022-02,APURIMAC,ABANCAY,-0.2148361699332305,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.3483348759036216,4.116793799448629,-0.396388269879513,0.9530314794779686,-1.0368055204695177,-1.397398979728904,-1.1537810949612264,-0.317568709003992,-13.6288888888889,-72.8861111111111,0.8660254037844386,0.5000000000000001,1.1548283533043433,-1.3452062298139433,-0.19660608740387756,-0.21472380151406179,-0.21464530729772266,1.1857811483160052,0.2033763769103331,1.5966730907435462
2022-03,APURIMAC,ABANCAY,-0.1957474184928217,-0.4708336072455109,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.0250466467163607,0.6888642096800033,-0.3548586689043048,1.0778446793819711,-1.0520775906490063,-1.410767283619865,-1.2056281623541552,-0.3697900334518273,-13.6288888888889,-72.8861111111111,1.0,6.123233995736766e-17,0.5542086846451935,-0.5585359199812279,-0.2123363063319274,-0.21880317029925764,-0.20349594749219727,1.0987244361770376,0.487077317621133,0.07766750805551438
2022-04,APURIMAC,ABANCAY,-0.2173260070776316,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.129999748914264,-0.1424706237520164,-0.3465527487092634,1.0120647497028348,-1.012370208182335,-1.429148701469936,-1.016386366369965,-0.4742326823474979,-13.6288888888889,-72.8861111111111,0.8660254037844387,-0.4999999999999998,-1.568295168977572,1.2114722771423818,-0.19329446236639342,-0.19922220013031747,-0.2154416901409745,0.5151008199296173,1.1427540514361125,0.007706329787956735
