fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg,num_emergencias,total_afectados,has_cultivo_perdidas,n_noticias,T2M,temp_max_c,temp_min_c,precipitacion_mm,humedad_rel_pct,velocidad_viento,radiacion_solar,anho,mes,trimestre,month_sin,month_cos
2021-01,AMAZONAS,BAGUA,-0.19765629363686263,0.0,0.15669971306615338,2.5118024068079405,-0.0662731179733067,-0.04794022911579407,-1.445096911887145,21.86,0.5201079588330134,0.45807330426339227,-0.16798223994817238,0.019570568648400993,0.20506931489656355,-0.9622607306501418,2021,1,1,0.49999999999999994,0.8660254037844387
2021-02,AMAZONAS,BAGUA,-0.18703298848741773,0.0,-0.39629909095605936,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-1.6273613872602983,23.07,1.2682650266358695,0.6447944058339875,-0.24114675387354037,-0.4414850945888448,0.07331701688433083,-0.9690207566578001,2021,2,1,0.8660254037844386,0.5000000000000001
2021-03,AMAZONAS,BAGUA,-0.187613950487778,0.0,-0.3246671215231305,2.5118024068079405,-0.030493666389505205,0.09326173807476328,-1.080567961140838,21.12,0.5166838990261354,0.4794128587286031,0.6368274132308758,0.43902722467627203,-0.11113620033279478,-1.1752015498913815,2021,3,1,1.0,6.123233995736766e-17
2021-04,AMAZONAS,BAGUA,-0.19184667363325994,0.0,-0.45360466650240283,1.1540713761009456,-0.054346634112039535,0.09326173807476328,-1.2628324365139916,21.81,0.6467981716875013,0.4874151916530573,-0.4240580386869604,0.14350094429299975,0.3631720725112424,-0.9521206916386539,2021,4,2,0.8660254037844387,-0.4999999999999998
2021-05,AMAZONAS,BAGUA,-0.19056025777531935,0.0,-0.3103407276365445,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-1.445096911887145,22.13,0.7820485340591845,0.5874443532087333,-0.6069693235003804,-0.2456231023113675,0.48614088398932626,-1.3036420440368914,2021,5,2,0.49999999999999994,-0.8660254037844387
2021-06,AMAZONAS,BAGUA,-0.19010378763217914,0.0,-0.23870875820361542,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-1.445096911887145,21.48,0.6365259922668673,0.40739186240851655,-0.5947752378461525,-0.2568895000972409,0.4510069378527309,-1.5943231623662029,2021,6,2,1.2246467991473532e-16,-1.0
2021-07,AMAZONAS,BAGUA,-0.1906847496325394,0.0,-0.26736154597678696,1.1540713761009456,-0.0662731179733067,-0.04794022911579407,-1.6273613872602983,21.31,0.7409598163766481,0.1993312063727104,-0.6841985326438245,-0.547215904579341,0.8726142914918752,-1.3070220570407205,2021,7,3,-0.4999999999999997,-0.8660254037844388
2021-08,AMAZONAS,BAGUA,-0.19251063020510023,0.0,0.17675666450737343,1.1540713761009456,-0.0662731179733067,-0.04794022911579407,-1.2628324365139916,22.53,1.2271763089533325,0.41139302887074347,-0.5866458474100005,-0.8618083966002443,0.6091096954674101,-0.8439602755161199,2021,8,3,-0.8660254037844385,-0.5000000000000004
2021-09,AMAZONAS,BAGUA,-0.19334057591990061,0.0,0.2913678156000602,1.1540713761009456,-0.018567182528238035,0.09326173807476328,-0.533774535021378,22.46,0.8505297301967455,0.4807465808826788,-0.4199933434688844,-0.6390803788333791,0.6178931820015588,-0.2558380128498375,2021,9,3,-1.0,-1.8369701987210297e-16
2021-10,AMAZONAS,BAGUA,-0.19176367906177988,0.0,0.305694209486646,3.869533437514935,-0.0662731179733067,-0.04794022911579407,-0.533774535021378,23.07,1.066245498030064,0.6127850741361713,-0.11107650689510833,-0.36262031008773715,0.2665537206356053,-0.2625980388574958,2021,10,4,-0.8660254037844386,0.5000000000000001
2021-11,AMAZONAS,BAGUA,-0.19383854334878084,0.0,0.4059789666927468,5.22726446822193,0.8162866877604638,-0.04794022911579407,0.9243412679638494,22.53,0.9378432552721369,0.4474035270307868,-0.10294711645895631,-0.3756199998406663,-0.12870317340109247,-0.38765851999917667,2021,11,4,-0.5000000000000004,0.8660254037844384
2021-12,AMAZONAS,BAGUA,-0.1902697767751392,0.0,0.3200206033732318,5.22726446822193,-0.018567182528238035,-0.04794022911579407,-0.16924558427507108,22.72,1.0285808401544057,0.40605814025444087,0.07589947313638769,-0.1814912995302472,0.06453353035018197,-0.5735592352097832,2021,12,4,-2.4492935982947064e-16,1.0
2022-01,AMAZONAS,BAGUA,-0.19267661934806032,0.0,0.07647190730127261,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,23.1,1.1158943652297957,0.36738019778624603,-0.3671523056338964,-0.968405852574269,0.2489867475673076,-0.2862581298843003,2022,1,1,0.49999999999999994,0.8660254037844387
2022-02,AMAZONAS,BAGUA,-0.18769694505925805,0.0,-0.281687939863373,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-1.080567961140838,22.23,1.292233445284016,0.3873860300973813,0.16532276793405978,-0.11042632888089779,0.05575004381603313,-1.597703175370032,2022,2,1,0.8660254037844386,0.5000000000000001
2022-03,AMAZONAS,BAGUA,-0.18670101020149757,0.0,-0.21005597043044388,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,21.46,0.5492124671914766,0.5487664107405387,0.37668691927401166,0.2622314440364264,-0.21653803874258076,-0.685099664336147,2022,3,1,1.0,6.123233995736766e-17
2022-04,AMAZONAS,BAGUA,-0.18860988534553846,0.0,-0.29601433374995895,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,1.2888702187101562,21.4,0.5235320186398914,0.5140896347345708,-0.10701181167703232,0.45982672828096066,0.2489867475673076,-1.361102265101988,2022,4,2,0.8660254037844387,-0.4999999999999998
2022-05,AMAZONAS,BAGUA,-0.19018678220365917,0.0,-0.26736154597678696,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,3.11151497244169,21.79,0.5766049456465011,0.4260639725655759,-0.5012872478304045,-0.06536073773740667,0.46857391092102857,-1.526722902289619,2022,5,2,0.49999999999999994,-0.8660254037844387
2022-06,AMAZONAS,BAGUA,-0.19002079306069908,0.0,0.4632845422390903,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,2.382457070949077,20.7,0.6399500520737453,0.21933703868384566,-0.3346347438892884,-0.0896268252762092,0.2929041802380518,-1.0298609907267258,2022,6,2,1.2246467991473532e-16,-1.0
2022-07,AMAZONAS,BAGUA,-0.18993779848921905,0.0,0.6208748749915343,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.01301889109808234,21.26,0.6211177231359162,0.45273841564708966,-0.3630876104158204,-0.016828562659801583,0.5300583166600707,-1.3002620310330624,2022,7,3,-0.4999999999999997,-0.8660254037844388
2022-08,AMAZONAS,BAGUA,-0.19018678220365917,0.0,2.4116741108147624,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.7160390103945313,21.93,0.7786244742523065,0.061957824502915454,-0.5500635904473165,-0.7751437982473784,0.7408619934796427,-0.722279807378268,2022,8,3,-0.8660254037844385,-0.5000000000000004
2022-09,AMAZONAS,BAGUA,-0.18844389620257837,0.0,2.4116741108147624,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,23.32,1.0354289597681616,0.576774575976128,-0.46470499086772044,-1.0680701406800648,0.4334399647844332,-0.005717050566476883,2022,9,3,-1.0,-1.8369701987210297e-16
2022-10,AMAZONAS,BAGUA,-0.18711598305889776,0.0,2.4116741108147624,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.16924558427507108,23.58,1.5661582298342598,0.4594070264174679,-0.5338048095750124,-1.1478015711647014,0.14358490915752162,0.30524414578581055,2022,10,4,-0.8660254037844386,0.5000000000000001
2022-11,AMAZONAS,BAGUA,-0.18728197220185785,0.0,0.9790347221561798,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.37754784184438916,24.09,1.516509362634528,0.37404880855662453,-0.5785164569738485,-1.5438587856372985,0.37195555904539146,0.16328359962498334,2022,11,4,-0.5000000000000004,0.8660254037844384
2022-12,AMAZONAS,BAGUA,-0.18645202648705747,0.0,0.6208748749915343,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.5598123172175425,23.04,1.3915311796834795,0.17665792975342384,-0.46470499086772044,-1.0420707611742053,0.178718855294117,-0.04965721961625621,2022,12,4,-2.4492935982947064e-16,1.0
2023-01,AMAZONAS,BAGUA,-0.1909337333469795,0.0,0.9790347221561798,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.16924558427507108,22.0,1.1124703054229172,0.5274268562753278,0.2710048436040357,-0.35568714221950803,-0.049651794593752845,-0.7729800024357062,2023,1,1,0.49999999999999994,0.8660254037844387
2023-02,AMAZONAS,BAGUA,-0.18728197220185785,0.0,0.1910830583939594,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.8983034857676847,22.07,0.6981590687906724,0.5861106310546574,-0.13952937342164035,-0.06796067568799273,0.15236839569167046,-2.040484878871658,2023,2,1,0.8660254037844386,0.5000000000000001
2023-03,AMAZONAS,BAGUA,-0.18529010248633693,0.0,0.8357707832903216,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,1.4711346940833097,21.71,0.6450861417840626,0.4767454144204518,0.7303154032466237,0.32462995485048973,-0.18140409260598556,-1.0028208866960922,2023,3,1,1.0,6.123233995736766e-17
2023-04,AMAZONAS,BAGUA,-0.18661801563001754,0.0,1.2369098121147248,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.7160390103945313,21.67,0.5166838990261354,0.5327617448916304,0.03931721617370365,0.38182858976338085,-0.049651794593752845,-1.3104020700445498,2023,4,2,0.8660254037844387,-0.4999999999999998
2023-05,AMAZONAS,BAGUA,-0.19085073877549946,0.0,0.7641388138573924,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,1.106605743337003,22.84,0.7837605639626238,0.484747747344906,-0.5459988952292404,-0.1927576973161194,0.4158729917161355,-1.330682148067525,2023,5,2,0.49999999999999994,-0.8660254037844387
2023-06,AMAZONAS,BAGUA,-0.19383854334878084,0.0,0.9360555404964225,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.01301889109808234,21.99,0.5372282578674034,0.41272675102481915,-0.6841985326438245,-0.363486956071265,0.732078506945494,-1.516582863278131,2023,6,2,1.2246467991473532e-16,-1.0
2023-07,AMAZONAS,BAGUA,-0.19325758134842058,0.0,0.9360555404964225,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.7160390103945313,22.8,0.874498148844892,0.5647710765894465,-0.7167160943884324,-0.7162118713674297,0.7496454800137917,-1.151541458864577,2023,7,3,-0.4999999999999997,-0.8660254037844388
2023-08,AMAZONAS,BAGUA,-0.1945439972063612,0.0,2.5262852619074496,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.742076792590696,23.56,1.2562808173117963,0.5020861353478897,-0.6801338374257485,-1.0897362902682812,0.5915427223991124,-0.2761180908728135,2023,8,3,-0.8660254037844385,-0.5000000000000004
2023-09,AMAZONAS,BAGUA,-0.19682634792206224,0.0,4.2024733466379915,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,1.6533991694564631,24.65,1.3829710301662834,0.7234840129244526,-0.6476162756811404,-1.36186312909628,0.6881610742747496,-0.1645776617464491,2023,9,3,-1.0,-1.8369701987210297e-16
2023-10,AMAZONAS,BAGUA,-0.1945854944921012,0.0,2.4546532924745206,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.16924558427507108,24.75,1.4497401964004057,0.783501509857858,-0.46876968608579644,-1.2041335600940641,0.2489867475673076,-0.012477076574135148,2023,10,4,-0.8660254037844386,0.5000000000000001
2023-11,AMAZONAS,BAGUA,-0.1930500949197205,0.0,0.23406224005371712,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.01301889109808234,24.37,1.4274838076556993,0.6487955722962147,-0.4118639530327324,-0.9770723124095557,0.3104711533063495,-0.5397591051714906,2023,11,4,-0.5000000000000004,0.8660254037844384
2023-12,AMAZONAS,BAGUA,-0.19396303520600092,0.0,-0.009486456018242242,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,23.39,0.963523703823722,0.7448235673896635,0.3157164910028717,-0.06189415380329272,0.25777023410145644,-1.5672830583355692,2023,12,4,-2.4492935982947064e-16,1.0
2024-01,AMAZONAS,BAGUA,-0.1852071079148569,0.0,-0.08111842545117151,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.19528336647123576,23.74,1.1741033819467221,0.7421561230815121,-0.3630876104158204,-0.25342291616312573,0.4158729917161355,-1.7700838385653215,2024,1,1,0.49999999999999994,0.8660254037844387
2024-02,AMAZONAS,BAGUA,-0.18748945863055794,0.0,-0.2673615459767872,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.9243412679638494,24.0,1.352154491904381,0.7634956775467231,-0.07855894515050038,-0.31408813501013205,0.4949243705234753,-0.7797400284433645,2024,2,1,0.8660254037844386,0.5000000000000001
2024-03,AMAZONAS,BAGUA,-0.18587106448669719,0.0,-0.3819726970694738,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,24.44,1.6312153661649433,0.4900826359612086,-0.5053519430484804,-0.755210940626219,0.31925463984049834,-1.0940812377994804,2024,3,1,1.0,6.123233995736766e-17
2024-04,AMAZONAS,BAGUA,-0.18711598305889776,0.0,-0.2673615459767872,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.5598123172175425,23.91,1.1021981260022837,0.730152623694831,-0.4850284669581004,-0.43801851065472963,0.25777023410145644,-1.1583014848722357,2024,4,2,0.8660254037844387,-0.4999999999999998
2024-05,AMAZONAS,BAGUA,-0.18819491248813827,0.0,-0.06679203156458555,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.16924558427507108,24.02,0.9857800925684299,0.6648002381451225,-0.5297401143569364,-0.5160166491723094,0.5564087762625171,-1.1549214718684067,2024,5,2,0.49999999999999994,-0.8660254037844387
2024-06,AMAZONAS,BAGUA,-0.1878629342022181,0.0,-0.18140318265727196,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.9243412679638494,22.63,0.8162891321279656,0.5701059652057496,-0.4118639530327324,-0.42675211286885745,0.38952253211368915,-1.036621016734384,2024,6,2,1.2246467991473532e-16,-1.0
2024-07,AMAZONAS,BAGUA,-0.18682550205871762,0.0,0.4059789666927468,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.7160390103945313,22.16,0.6741906501425259,0.4740779701123005,-0.6313574948088364,-0.6226141051463348,0.8638308049577266,-1.3813823431249632,2024,7,3,-0.4999999999999997,-0.8660254037844388
2024-08,AMAZONAS,BAGUA,-0.19006229034643912,0.0,0.5349165116720191,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-1.080567961140838,23.39,0.8779222086517706,0.5914455196709605,-0.6150987139365324,-1.0914695822353386,0.6442436416040055,-0.593839313232758,2024,8,3,-0.8660254037844385,-0.5000000000000004
2024-09,AMAZONAS,BAGUA,-0.19143170077585975,0.0,0.7068332383110493,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,24.3,1.168967292236405,0.7728317326252528,-0.5297401143569364,-1.0854030603506382,0.7145115338771963,-0.8101601454778273,2024,9,3,-1.0,-1.8369701987210297e-16
2024-10,AMAZONAS,BAGUA,-0.19292560306250042,0.0,0.8357707832903216,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.5598123172175425,24.11,1.0782297073541374,0.6781374596858795,-0.25334083952776837,-0.8202093893908684,0.3631720725112424,-0.07669732364689047,2024,10,4,-0.8660254037844386,0.5000000000000001
2024-11,AMAZONAS,BAGUA,-0.1926351220623203,0.0,0.9360555404964225,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,-0.3515100596482245,24.27,1.468572525338235,0.32470108885582427,-0.5825811521919244,-1.7700533873382782,-0.023301334991306304,-0.20851783079622846,2024,11,4,-0.5000000000000004,0.8660254037844384
2024-12,AMAZONAS,BAGUA,-0.1917221817760399,0.0,0.6495276627647057,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.01301889109808234,23.91,1.3333221629665517,0.6247885735228524,-0.3427641343254404,-0.7344114370215317,0.15236839569167046,-0.8608603405352655,2024,12,4,-2.4492935982947064e-16,1.0
2025-01,AMAZONAS,BAGUA,-0.1796464716256943,0.0,0.17675666450737343,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.9243412679638494,22.66,0.7923207134798191,0.5807757424383548,-0.0948177260228043,-0.3860197516430106,0.038183070747735436,-1.121121341830114,2025,1,1,0.49999999999999994,0.8660254037844387
2025-02,AMAZONAS,BAGUA,-0.1763266887664928,0.0,0.17675666450737343,-0.2036596546060492,-0.0662731179733067,-0.04794022911579407,0.742076792590696,22.9,0.8813462684586479,0.6874735147644093,-0.009459126443208309,-0.1910244053490624,-0.049651794593752845,-1.2799819530100869,2025,2,1,0.8660254037844386,0.5000000000000001
