cultivo,modelo,particion,mae,rmse,r2,delta_s,experimento
SUTIL,Naive,train,3356.884111111111,4330.752376269937,0.7099647456324429,,exp_001_naive_sutil
SUTIL,Naive,val,3078.132916666667,4269.753958426303,0.7279353110167263,,exp_001_naive_sutil
SUTIL,Naive,test,4704.292916666665,6317.411051514885,0.47461619342486394,147.86206003505842,exp_001_naive_sutil
SUTIL,SARIMA,train,3338.2881585951855,4659.989856596336,0.6641896878052511,,exp_002b_sarima_sutil_simple
SUTIL,SARIMA,val,4824.125047652224,5607.452959943793,0.5307570491634639,,exp_002b_sarima_sutil_simple
SUTIL,SARIMA,test,3638.142907943205,4312.238680533487,0.7552041827541094,-79.24728762894654,exp_002b_sarima_sutil_simple
SUTIL,Prophet,train,3887.30181157902,4817.182807574174,0.6411521561023958,,exp_003_prophet_sutil
SUTIL,Prophet,val,3796.3940455227166,4628.331410518602,0.6803200659210598,,exp_003_prophet_sutil
SUTIL,Prophet,test,3682.029717083989,3970.5737938194934,0.7924584982554741,-18.0771775776013,exp_003_prophet_sutil
DULCE,Naive,train,73.23724444444444,86.17159200533162,0.6429099840803141,,exp_001_naive_dulce
DULCE,Naive,val,85.594,100.85028373204179,0.5739375893629919,,exp_001_naive_dulce
DULCE,Naive,test,84.70083333333332,97.71208075258656,0.6685541385529272,63.22940545645952,exp_001_naive_dulce
DULCE,SARIMA,train,62.041412504043656,142.6111890562768,0.021959866008737228,,exp_002_sarima_dulce
DULCE,SARIMA,val,38.05603392658223,47.06420417348174,0.9072101633162886,,exp_002_sarima_dulce
DULCE,SARIMA,test,53.404933772924586,57.65241211370474,0.8846145515432794,-3.267364360648813,exp_002_sarima_dulce
DULCE,Prophet,train,22.8972055338066,29.00083783248931,0.959554466884935,,exp_003_prophet_dulce
DULCE,Prophet,val,46.889584437413134,55.31064588747832,0.8718447413822082,,exp_003_prophet_dulce
DULCE,Prophet,test,64.58365451329246,74.0919011415114,0.8094286745012247,41.69735983970721,exp_003_prophet_dulce
