departamento,provincia,total_emergencias,personas_afectadas,personas_damnificadas,personas_fallecidas,cultivo_ha_afectadas,cultivo_ha_perdidas,viviendas_afectadas,viviendas_destruidas,emergencias_hidromet,peligro_bajas_temperaturas,peligro_erosion,peligro_huayco,peligro_inundacion,peligro_lluvia_intensa,peligro_marejada,peligro_sequia,peligro_tormenta_electrica,peligro_vientos_fuertes,magnitud_impacto
LIMA PROVINCIAS,CANTA,178.0,6988.0,914.0,3.0,358.0,212.576,1156.0,242.0,132,14,3,25,4,80,0,0,0,6,141.11
LIMA PROVINCIAS,CAÑETE,385.0,56588.0,47093.0,12.0,5919.872,1264.776,8354.0,9958.0,152,1,7,56,56,22,6,0,0,4,221.24
LIMA PROVINCIAS,HUARAL,246.0,15608.0,3879.0,13.0,2316.4300000000003,643.72,2712.0,458.0,154,26,7,38,14,52,1,9,0,7,176.05
LIMA PROVINCIAS,HUAROCHIRI,695.0,45029.0,4515.0,17.0,8265.996000000003,5101.227,4959.0,905.0,561,131,8,117,22,255,0,0,1,27,657.04
LIMA PROVINCIAS,HUAURA,469.0,17466.0,2864.0,20.0,2716.3152000000005,839.12,3679.0,995.0,223,35,22,37,31,83,10,0,0,5,248.86
LIMA PROVINCIAS,OYON,196.0,13910.0,3285.0,5.0,1220.2920000000001,657.1199999999998,3089.0,309.0,146,24,3,20,17,74,0,0,0,8,166.48
LIMA PROVINCIAS,YAUYOS,734.0,75015.0,19262.0,9.0,5983.739999999999,2113.8800000000006,10710.0,3515.0,591,149,3,150,31,228,0,3,2,25,687.15
LORETO,ALTO AMAZONAS,646.0,151053.0,31260.0,10.0,5706.05,24193.0,31236.0,3993.0,196,1,13,0,83,11,0,4,0,84,588.98
LORETO,DATEM DEL MARAÑON,227.0,114357.0,10360.0,14.0,17310.0,14498.05,19467.0,684.0,124,1,16,0,58,6,0,5,0,38,383.34
LORETO,MARISCAL RAMON CASTILLA,435.0,107702.0,36239.0,7.0,2674.8,3338.61,26810.0,418.0,197,0,40,0,32,2,0,4,1,118,338.09
LORETO,MAYNAS,1969.0,292977.0,92342.0,59.0,8918.74,20914.56,67724.0,4138.0,770,3,52,0,108,28,0,7,1,571,1272.12
LORETO,PUTUMAYO,109.0,25852.0,1353.0,4.0,336.0,2785.5,4805.0,188.0,48,0,8,0,19,1,0,4,0,16,101.71
LORETO,REQUENA,453.0,209494.0,51300.0,2.0,5344.15,8957.85,47865.0,1459.0,262,3,86,0,79,4,0,10,0,80,561.07
MADRE DE DIOS,MANU,298.0,26048.0,5133.0,30.0,1489.25,872.3,3584.0,903.0,235,20,6,1,77,57,0,5,2,67,269.77
MADRE DE DIOS,TAHUAMANU,139.0,10219.0,589.0,0.0,346.75,716.51,1075.0,98.0,50,3,0,0,17,10,0,2,0,18,67.38
MADRE DE DIOS,TAMBOPATA,622.0,70262.0,8829.0,31.0,6312.65,8651.5,12182.0,1805.0,301,8,7,0,171,47,0,5,0,63,457.78
MOQUEGUA,GENERAL SANCHEZ CERRO,858.0,263742.0,20171.0,11.0,68563.57400000002,2431.7219999999998,21865.0,2493.0,716,285,4,35,20,271,0,9,5,87,1004.06
MOQUEGUA,ILO,87.0,8444.0,487.0,0.0,395.57,47.150000000000006,2575.0,90.0,30,6,3,2,8,7,1,0,0,3,38.92
MOQUEGUA,MARISCAL NIETO,624.0,100092.0,6658.0,13.0,2902.528,354.3349999999999,22577.0,1242.0,352,110,25,7,19,148,0,1,2,40,455.64
PASCO,DANIEL ALCIDES CARRION,1676.0,152546.0,2599.0,31.0,34091.11999999997,7329.480000000003,4198.0,521.0,1356,372,9,19,43,636,0,7,6,264,1581.84
PASCO,OXAPAMPA,925.0,40332.0,5510.0,13.0,18902.070000000003,7817.326,2567.0,1218.0,582,56,4,22,64,216,0,0,0,220,700.51
PIURA,AYABACA,765.0,285790.0,30083.0,13.0,62596.12600000002,8865.041000000001,50153.0,4003.0,602,41,1,2,14,398,0,15,0,131,976.44
PIURA,HUANCABAMBA,727.0,206197.0,28188.0,26.0,40851.395,10848.725000000002,37297.0,5376.0,585,25,9,9,19,384,0,21,0,118,899.68
PIURA,MORROPON,623.0,229963.0,21160.0,20.0,27156.638000000006,5581.135000000001,50746.0,4187.0,487,13,22,1,21,314,0,31,1,84,772.77
PIURA,PAITA,377.0,106764.0,19291.0,11.0,5268.547,3534.47,24906.0,2822.0,157,0,1,0,15,97,2,1,0,41,299.11
PIURA,SECHURA,313.0,60395.0,9760.0,5.0,10275.44,5712.789999999999,13813.0,913.0,115,0,1,0,6,64,4,6,1,33,232.52
PIURA,SULLANA,578.0,159933.0,17611.0,12.0,15694.52,183.99,32288.0,5296.0,251,0,3,0,9,162,0,8,0,69,412.77
PIURA,TALARA,244.0,57197.0,6207.0,4.0,0.0,0.0,14454.0,5146.0,99,0,5,0,2,64,12,1,1,14,156.2
PUNO,AZANGARO,555.0,328196.0,18301.0,9.0,123989.62400000003,42477.67599999999,13120.0,2687.0,405,161,1,0,78,62,0,38,20,45,1157.97
PUNO,CARABAYA,548.0,214374.0,12491.0,36.0,42565.07000000001,10244.154999999999,7554.0,1395.0,395,186,1,11,33,80,0,23,15,46,711.82
PUNO,CHUCUITO,552.0,212153.0,8705.0,9.0,43247.406,5824.878,4561.0,945.0,318,109,6,0,36,45,0,9,18,95,588.4
PUNO,EL COLLAO,463.0,347440.0,8132.0,5.0,35058.39700000001,16468.735,10296.0,1464.0,336,125,6,0,46,41,0,8,9,101,848.13
