departamento,provincia,total_emergencias,personas_afectadas,personas_damnificadas,personas_fallecidas,cultivo_ha_afectadas,cultivo_ha_perdidas,viviendas_afectadas,viviendas_destruidas,emergencias_hidromet,peligro_bajas_temperaturas,peligro_erosion,peligro_huayco,peligro_inundacion,peligro_lluvia_intensa,peligro_marejada,peligro_sequia,peligro_tormenta_electrica,peligro_vientos_fuertes,magnitud_impacto
CAJAMARCA,JAEN,1260.0,83957.0,9619.0,20.0,19516.909999999996,2643.85,5956.0,1976.0,933,5,10,39,68,494,0,14,0,303,1043.4
CAJAMARCA,SAN IGNACIO,901.0,29059.0,8982.0,10.0,32736.249999999996,1405.45,3883.0,2631.0,639,5,8,9,19,367,0,1,0,230,682.11
CAJAMARCA,SAN MARCOS,350.0,9471.0,1438.0,7.0,1985.4100000000003,1186.26,855.0,374.0,301,19,3,5,17,223,0,1,0,33,322.33
CAJAMARCA,SAN MIGUEL,522.0,21156.0,3262.0,3.0,4498.74,2502.4790000000003,2423.0,1203.0,426,21,5,12,8,307,0,0,1,72,472.18
CAJAMARCA,SAN PABLO,246.0,3405.0,848.0,1.0,688.72,1040.07,404.0,168.0,166,8,1,8,11,92,0,0,0,46,179.81
CAJAMARCA,SANTA CRUZ,194.0,28286.0,2319.0,11.0,1060.8300000000002,677.0100000000001,5400.0,676.0,141,3,4,1,6,111,0,0,0,16,176.06
CALLAO,PROV. CONST. DEL CALLAO,1099.0,7331.0,7221.0,35.0,0.0,0.0,1891.0,1531.0,83,2,51,0,13,9,8,0,0,0,90.33
CUSCO,ACOMAYO,329.0,140615.0,2669.0,2.0,6859.872000000001,3342.073000000001,2063.0,339.0,276,157,0,0,17,82,0,3,2,15,450.04
CUSCO,ANTA,456.0,87065.0,3494.0,4.0,10805.151999999998,11008.376,3628.0,455.0,342,135,2,7,37,120,0,4,0,37,539.15
CUSCO,CALCA,465.0,97640.0,7585.0,15.0,7373.676000000001,3343.6750000000006,3270.0,930.0,326,162,1,7,38,82,0,4,1,31,457.08
CUSCO,CANAS,1024.0,277838.0,5755.0,10.0,29512.15400000001,22071.276999999987,4606.0,1034.0,726,342,4,1,42,127,0,10,34,166,1224.55
CUSCO,CANCHIS,658.0,161702.0,4237.0,5.0,16551.523,2183.3959999999997,4072.0,585.0,470,251,1,2,73,78,0,9,10,46,653.54
CUSCO,CHUMBIVILCAS,1217.0,251462.0,6346.0,22.0,30344.036999999997,16047.201000000005,3727.0,1343.0,788,369,23,3,32,143,0,9,56,153,1199.93
CUSCO,ESPINAR,736.0,209613.0,3347.0,8.0,19221.09,9920.080000000002,2242.0,348.0,468,262,1,0,21,62,0,12,30,80,776.81
CUSCO,LA CONVENCION,1759.0,152457.0,24022.0,100.0,33586.737000000016,7605.743000000002,7583.0,3006.0,969,108,26,95,141,423,0,24,2,150,1197.51
CUSCO,PARURO,607.0,108930.0,5920.0,27.0,8969.216000000004,3792.2619999999997,2478.0,689.0,449,218,1,9,25,134,0,11,8,43,595.85
CUSCO,PAUCARTAMBO,524.0,117070.0,4826.0,7.0,28774.515000000003,2921.995,1269.0,662.0,356,145,5,9,15,134,0,2,6,40,502.29
CUSCO,QUISPICANCHI,939.0,204942.0,19880.0,19.0,12290.476999999995,2388.5229999999992,10511.0,2419.0,701,328,5,18,64,161,0,9,9,107,929.83
CUSCO,URUBAMBA,258.0,44676.0,3134.0,7.0,5621.331,5739.305000000001,1166.0,637.0,171,83,3,4,18,50,0,0,1,12,273.07
HUANCAVELICA,ACOBAMBA,999.0,253094.0,35330.0,1.0,48669.06500000002,24707.208999999977,17221.0,1627.0,909,284,12,4,10,382,0,49,2,166,1409.17
HUANCAVELICA,ANGARAES,1320.0,176376.0,4068.0,7.0,24760.197999999982,16936.130999999998,17856.0,924.0,1155,382,13,15,25,555,0,55,6,104,1500.74
HUANCAVELICA,CASTROVIRREYNA,1158.0,158457.0,13517.0,17.0,11208.165000000003,3029.912,18290.0,2553.0,1005,310,11,32,15,476,0,54,1,106,1193.76
HUANCAVELICA,CHURCAMPA,1301.0,159352.0,21348.0,8.0,31728.909999999985,19097.590999999997,10701.0,1120.0,1147,307,9,11,15,540,0,57,1,207,1497.33
HUANCAVELICA,HUAYTARA,1042.0,217921.0,11821.0,6.0,11510.837000000005,5823.950999999999,26917.0,2834.0,927,308,1,29,7,412,0,107,4,59,1203.16
HUANCAVELICA,TAYACAJA,1586.0,181715.0,8957.0,22.0,40080.43499999999,23341.724000000006,17207.0,3004.0,1339,325,21,30,28,685,0,59,2,189,1754.13
HUANUCO,AMBO,464.0,90280.0,1877.0,32.0,10103.95,1635.7400000000005,2052.0,411.0,355,125,0,29,17,130,0,10,0,44,461.64
