DEPARTAMENTO,PROVINCIA,ANIO,MES,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
AMAZONAS,LUYA,2022,2,13.16,2.17,11.56,76.93,17.31,28.69,10.7,1.88
AMAZONAS,LUYA,2022,3,13.93,1.96,11.69,79.94,16.69,24.54,10.14,1.7
AMAZONAS,LUYA,2022,4,13.75,1.52,11.79,79.84,16.91,26.32,10.98,1.69
AMAZONAS,LUYA,2022,5,13.73,0.71,11.23,75.62,17.32,27.13,10.36,1.88
AMAZONAS,LUYA,2022,6,15.57,0.56,10.03,72.57,16.34,27.23,7.45,1.82
AMAZONAS,LUYA,2022,7,14.87,0.23,10.23,70.7,17.19,27.75,8.13,2.19
AMAZONAS,LUYA,2022,8,15.96,0.23,9.6,65.36,17.61,28.01,7.22,2.48
AMAZONAS,LUYA,2022,9,16.42,0.81,10.22,65.71,18.45,29.29,9.35,2.07
AMAZONAS,LUYA,2022,10,16.79,0.5,10.58,67.53,18.45,30.05,9.2,1.87
AMAZONAS,LUYA,2022,11,17.14,0.42,10.15,62.46,19.15,29.6,10.25,2.1
AMAZONAS,LUYA,2022,12,16.88,0.47,10.35,66.94,18.14,29.62,9.53,2.02
AMAZONAS,LUYA,2023,1,15.34,2.73,10.92,74.37,17.09,27.29,10.94,1.84
AMAZONAS,LUYA,2023,2,13.11,1.86,11.75,79.01,17.02,24.69,11.22,1.83
AMAZONAS,LUYA,2023,3,13.54,3.48,11.89,81.25,16.65,25.04,10.07,1.68
AMAZONAS,LUYA,2023,4,13.1,1.07,11.86,79.83,17.01,25.29,10.67,1.56
AMAZONAS,LUYA,2023,5,13.69,0.45,11.87,75.8,18.11,27.97,11.1,1.9
AMAZONAS,LUYA,2023,6,14.19,0.04,10.73,72.05,17.56,27.2,8.24,2.3
AMAZONAS,LUYA,2023,7,15.35,0.06,10.58,68.38,18.36,27.75,10.54,2.45
AMAZONAS,LUYA,2023,8,16.83,0.08,10.33,64.71,19.0,30.48,9.62,2.39
AMAZONAS,LUYA,2023,9,15.72,0.15,10.58,62.86,19.73,30.3,11.94,2.48
AMAZONAS,LUYA,2023,10,15.52,0.81,11.45,68.12,19.34,29.59,12.04,2.04
AMAZONAS,LUYA,2023,11,15.78,0.89,11.63,70.83,18.94,30.22,12.44,2.03
AMAZONAS,LUYA,2023,12,13.18,2.27,12.75,78.51,18.43,26.83,13.03,1.93
AMAZONAS,LUYA,2024,1,13.8,0.82,12.31,74.69,18.89,28.9,12.12,2.08
AMAZONAS,LUYA,2024,2,14.57,1.0,12.05,72.48,19.15,29.54,12.02,2.2
AMAZONAS,LUYA,2024,3,14.41,0.46,11.75,69.43,19.5,30.78,12.87,2.04
AMAZONAS,LUYA,2024,4,14.29,0.49,12.5,74.73,19.08,28.78,13.53,1.86
AMAZONAS,LUYA,2024,5,15.22,0.38,11.86,70.66,19.46,28.95,11.46,2.05
AMAZONAS,LUYA,2024,6,15.44,0.27,10.71,68.3,18.51,29.64,9.4,2.05
AMAZONAS,LUYA,2024,7,14.66,0.23,10.14,67.55,17.94,28.46,8.71,2.59
AMAZONAS,LUYA,2024,8,15.06,0.18,10.29,65.19,18.73,29.45,9.95,2.4
AMAZONAS,LUYA,2024,9,13.47,0.37,10.38,63.3,19.52,30.29,10.52,2.44
AMAZONAS,LUYA,2024,10,16.09,1.13,11.19,67.21,19.3,29.6,11.3,2.07
AMAZONAS,LUYA,2024,11,16.39,0.71,10.51,65.84,18.54,29.55,10.95,1.82
AMAZONAS,LUYA,2024,12,15.17,0.65,11.89,73.02,18.71,28.92,12.7,1.98
AMAZONAS,LUYA,2025,1,14.72,1.14,11.45,74.2,17.79,27.33,11.12,1.98
AMAZONAS,LUYA,2025,2,13.31,1.37,12.2,77.84,17.9,26.78,12.69,1.84
AMAZONAS,LUYA,2025,3,13.6,1.42,11.99,78.33,17.51,26.44,11.57,1.72
