fecha,real,sarimax,lstm_correccion,hibrido,error_abs
2024-09-01,-0.010571274328193905,-0.07224366957076989,0.015134529127737037,-0.05710914044303285,0.04653786611483894
2024-10-01,-0.014745347976496629,-0.11251361515192528,0.00920226122497018,-0.10331135392695509,0.08856600595045847
2024-11-01,-0.014216712077393306,-0.40258287230142775,0.007200743935390308,-0.3953821283660374,0.3811654162886441
2024-12-01,0.00587722218731231,0.04747961610234147,0.0037557310159768388,0.05123534711831831,0.045358124931005994
2025-01-01,-0.05415203998215808,-0.05937459791838473,-0.0028139554543864347,-0.06218855337277117,0.008036513390613086
2025-02-01,-0.04198527293053156,-0.518246703291732,-0.019434238946270773,-0.5376809422380027,0.4956956693074711
2025-03-01,-0.04995053860404242,-0.12281781977643069,-0.04375556062396294,-0.16657338040039363,0.11662284179635121
2025-04-01,-0.06485905108512427,0.024242114981646523,-0.05867549218058205,-0.03443337719893553,0.03042567388618874
2025-05-01,-0.08599484387047594,-0.106581932271688,-0.065173337185697,-0.171755269457385,0.08576042558690906
2025-06-01,-0.1112783101261548,-0.7821603150255709,-0.06741242406549285,-0.8495727390910638,0.7382944289649089
2025-07-01,-0.10193916022060828,-0.1691086483963628,-0.05085737433557724,-0.21996602273194005,0.11802686251133176
2025-08-01,-0.11173165018831348,-0.27817139491431764,-0.04176400957203032,-0.31993540448634794,0.20820375429803445
