fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg
2021-02,LA LIBERTAD,ASCOPE,2.6,1.0
2021-02,LA LIBERTAD,BOLIVAR,6.08,1.0
2021-02,LA LIBERTAD,CHEPEN,15.3,0.9
2021-02,LA LIBERTAD,GRAN CHIMU,0.63,1.0
2021-02,LA LIBERTAD,OTUZCO,1.34,1.0
2021-02,LA LIBERTAD,PATAZ,10.15,1.0
2021-02,LA LIBERTAD,SANCHEZ CARRION,4.23,1.0
2021-02,LA LIBERTAD,VIRU,1.3,0.9
2021-02,LAMBAYEQUE,FERREÑAFE,20.0,0.35
2021-02,LAMBAYEQUE,LAMBAYEQUE,6627.0,0.42
2021-02,LORETO,ALTO AMAZONAS,291.0,0.81
2021-02,LORETO,DATEM DEL MARAÑON,42.0,0.91
2021-02,LORETO,LORETO,63.0,0.95
2021-02,LORETO,MARISCAL RAMON CASTILLA,44.0,0.91
2021-02,LORETO,MAYNAS,533.0,0.83
2021-02,LORETO,PUTUMAYO,12.0,0.94
2021-02,LORETO,REQUENA,46.0,0.77
2021-02,LORETO,UCAYALI,115.0,0.97
2021-02,MADRE DE DIOS,MANU,11.0,1.35
2021-02,MADRE DE DIOS,TAHUAMANU,10.9,1.4
2021-02,MADRE DE DIOS,TAMBOPATA,34.4,1.5
2021-02,PIURA,AYABACA,54.0,0.75
2021-02,PIURA,HUANCABAMBA,16.0,0.83
2021-02,PIURA,MORROPON,1217.0,0.76
2021-02,PIURA,PAITA,9.0,1.0
2021-02,PIURA,PIURA,10117.0,0.82
2021-02,PIURA,SECHURA,8.0,0.8
2021-02,PIURA,SULLANA,3543.0,1.0
2021-02,SAN MARTIN,BELLAVISTA,22.0,0.63
2021-02,SAN MARTIN,EL DORADO,8.0,0.62
2021-02,SAN MARTIN,HUALLAGA,37.0,0.98
2021-02,SAN MARTIN,LAMAS,86.0,0.99
2021-02,SAN MARTIN,MARISCAL CACERES,29.0,1.25
2021-02,SAN MARTIN,MOYOBAMBA,50.0,0.91
2021-02,SAN MARTIN,PICOTA,136.0,1.38
2021-02,SAN MARTIN,RIOJA,22.0,0.5
2021-02,SAN MARTIN,SAN MARTIN,48.0,1.23
2021-02,SAN MARTIN,TOCACHE,43.0,0.63
2021-02,TUMBES,CONTRALMIRANTE VILLAR,159.12,0.63
2021-02,TUMBES,TUMBES,1102.45,0.81
2021-02,TUMBES,ZARUMILLA,6337.15,0.87
2021-02,UCAYALI,ATALAYA,180.22,0.59
2021-02,UCAYALI,CORONEL PORTILLO,886.28,0.6
2021-02,UCAYALI,PADRE ABAD,397.48,0.61
2021-02,UCAYALI,PURUS,26.52,0.72
2021-03,AMAZONAS,BAGUA,37.8,1.4
2021-03,AMAZONAS,CHACHAPOYAS,23.45,1.65
2021-03,AMAZONAS,LUYA,23.6,1.38
2021-03,AMAZONAS,UTCUBAMBA,590.8,1.07
2021-03,ANCASH,CARHUAZ,5.0,2.5
2021-03,ANCASH,CASMA,49.0,1.92
2021-03,ANCASH,HUARMEY,8.0,1.8
2021-03,ANCASH,HUAYLAS,21.0,1.85
2021-03,ANCASH,SANTA,20.0,1.68
2021-03,ANCASH,YUNGAY,8.0,1.75
2021-03,APURIMAC,ABANCAY,26.0,0.97
2021-03,APURIMAC,ANDAHUAYLAS,32.1,1.66
2021-03,APURIMAC,AYMARAES,5.6,0.8
2021-03,APURIMAC,CHINCHEROS,22.7,1.97
2021-03,APURIMAC,GRAU,2.0,1.2
2021-03,AREQUIPA,LA UNION,31.0,2.22
2021-03,AYACUCHO,HUAMANGA,6.0,1.93
2021-03,AYACUCHO,HUANTA,14.0,1.88
2021-03,AYACUCHO,LA MAR,22.0,2.38
2021-03,AYACUCHO,LUCANAS,2.0,1.8
2021-03,AYACUCHO,SUCRE,6.0,2.08
2021-03,AYACUCHO,VILCAS HUAMAN,11.0,1.72
2021-03,CAJAMARCA,CAJABAMBA,5.199999999999999,1.27
2021-03,CAJAMARCA,CHOTA,32.0,0.98
2021-03,CAJAMARCA,JAEN,30.91,0.82
2021-03,CAJAMARCA,SAN IGNACIO,11.969999999999999,0.91
2021-03,CAJAMARCA,SANTA CRUZ,5.0,1.2
2021-03,CUSCO,LA CONVENCION,167.0,1.12
2021-03,HUANCAVELICA,ACOBAMBA,1.7000000000000002,0.9
2021-03,HUANCAVELICA,ANGARAES,0.75,0.89
2021-03,HUANCAVELICA,CASTROVIRREYNA,0.4,3.0
2021-03,HUANCAVELICA,CHURCAMPA,2.0,1.2
2021-03,HUANUCO,HUACAYBAMBA,20.5,3.17
2021-03,HUANUCO,HUAMALIES,12.0,1.1
2021-03,HUANUCO,HUANUCO,3.5,1.0
2021-03,HUANUCO,LEONCIO PRADO,78.8,1.06
2021-03,HUANUCO,MARAÑON,6.2,0.92
2021-03,HUANUCO,PUERTO INCA,2.0,2.5
2021-03,ICA,ICA,187.4,1.5
2021-03,ICA,PISCO,5.0,1.5
2021-03,JUNIN,CHANCHAMAYO,190.27,0.7
2021-03,JUNIN,HUANCAYO,10.2,0.85
2021-03,JUNIN,SATIPO,535.8,0.65
2021-03,LA LIBERTAD,ASCOPE,2.5,1.0
2021-03,LA LIBERTAD,BOLIVAR,6.18,1.0
2021-03,LA LIBERTAD,CHEPEN,14.0,1.0
2021-03,LA LIBERTAD,GRAN CHIMU,3.03,1.0
2021-03,LA LIBERTAD,OTUZCO,1.8,0.9
2021-03,LA LIBERTAD,PATAZ,13.76,1.03
2021-03,LA LIBERTAD,SANCHEZ CARRION,7.9,1.05
2021-03,LA LIBERTAD,VIRU,0.95,1.04
2021-03,LAMBAYEQUE,FERREÑAFE,32.0,0.4
2021-03,LAMBAYEQUE,LAMBAYEQUE,5742.0,0.57
2021-03,LORETO,ALTO AMAZONAS,310.0,0.82
2021-03,LORETO,DATEM DEL MARAÑON,47.0,0.91
2021-03,LORETO,LORETO,76.0,0.95
2021-03,LORETO,MARISCAL RAMON CASTILLA,45.0,0.91
2021-03,LORETO,MAYNAS,533.0,0.83
2021-03,LORETO,PUTUMAYO,11.0,0.92
2021-03,LORETO,REQUENA,48.0,0.85
2021-03,LORETO,UCAYALI,117.0,0.96
2021-03,MADRE DE DIOS,MANU,14.0,1.52
2021-03,MADRE DE DIOS,TAHUAMANU,10.0,1.5
2021-03,MADRE DE DIOS,TAMBOPATA,39.0,1.5
2021-03,MOQUEGUA,GENERAL SANCHEZ CERRO,15.44,2.1
2021-03,MOQUEGUA,MARISCAL NIETO,13.2,1.85
2021-03,PIURA,AYABACA,52.0,0.7
2021-03,PIURA,HUANCABAMBA,10.0,0.8
