fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg,num_emergencias,total_afectados,hectareas_cultivo_perdidas,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,lat,lon,month_sin,month_cos,mes_num,trimestre_num,trimestre_sin,trimestre_cos
2021-01-01,AMAZONAS,BAGUA,-0.1976562936368626,0.1566502169293491,0.3606456640299355,0.2131937845428242,-0.0139409828853855,-0.9454284420556036,-0.2026097393619924,0.4342037496246482,-0.0294508035501568,0.5438537431076027,0.554373388351352,0.4690321144374436,0.2046445354743614,-5.63888888888889,-78.5311111111111,0.49999999999999994,0.8660254037844387,1,1,1.0,6.123233995736766e-17
2021-02-01,AMAZONAS,BAGUA,-0.1870329884874177,-0.3934725878266924,0.3606456640299355,0.0369426800183261,-0.0139409828853855,-0.9520261610186088,-0.2662864500078492,0.3926741486494401,-0.478103657259137,0.7286457922794207,1.2846169883950782,0.6504968503126942,0.0740912243547729,-5.63888888888889,-78.5311111111111,0.8660254037844386,0.5000000000000001,2,1,1.0,6.123233995736766e-17
2021-03-01,AMAZONAS,BAGUA,-0.187613950487778,-0.3247072372321873,3.717951586519319,-0.0838219656743854,-0.0139409828853855,-1.1532565893902709,0.4978340777424327,0.539412072095175,0.3787220934332018,0.4308404237793837,0.5510313123786119,0.4897709413946151,-0.1086834112126506,-5.63888888888889,-78.5311111111111,1.0,6.123233995736766e-17,3,1,1.0,6.123233995736766e-17
2021-04-01,AMAZONAS,BAGUA,-0.1918466736332599,-0.4536422695968845,0.0554360347127189,-0.0675024189591541,-0.0139409828853855,-0.9355318636110952,-0.4254782266224912,0.4757333505998564,0.0911457341949268,0.5362177080178581,0.6780301993427378,0.4975480015035545,0.3613085088178671,-5.63888888888889,-78.5311111111111,0.8660254037844387,-0.4999999999999998,4,2,1.2246467991473532e-16,-1.0
2021-05-01,AMAZONAS,BAGUA,-0.1905602577753193,-0.307515899583561,1.581484181298802,0.0532622267335574,-0.0139409828853855,-1.2786132496873723,-0.5846700032371334,0.2930031063089409,-0.2875105276759981,0.5850883325922231,0.8100422002659742,0.5947612528652959,0.4831582658628163,-5.63888888888889,-78.5311111111111,0.49999999999999994,-0.8660254037844387,5,2,1.2246467991473532e-16,-1.0
2021-06-01,AMAZONAS,BAGUA,-0.1901037876321791,-0.2387505489890557,2.802322698567669,-0.0381272348717378,-0.0131355656143644,-1.562315165096601,-0.5740572181294906,0.1407279027331778,-0.2984738492891883,0.4858198764255443,0.6680039714245175,0.4197774004141614,0.4483440495642594,-5.63888888888889,-78.5311111111111,1.2246467991473532e-16,-1.0,6,2,1.2246467991473532e-16,-1.0
2021-07-01,AMAZONAS,BAGUA,-0.1906847496325394,-0.2645375554619952,1.8866938106160187,0.0434704987044186,-0.0139409828853855,-1.2819121091688748,-0.6518843089188712,-0.0890692226629734,-0.5809902139367603,0.4598573571204126,0.7699372885930925,0.2175738375817391,0.866114645146942,-5.63888888888889,-78.5311111111111,-0.4999999999999997,-0.8660254037844388,7,3,-1.0,-1.8369701987210297e-16
2021-08-01,AMAZONAS,BAGUA,-0.1925106302051002,0.1738415545779754,0.6658552933471521,-0.0642385096161079,-0.0139409828853855,-0.8299683602030105,-0.5669820280577287,-0.0226218611026405,-0.8871198866742793,0.6461766133101798,1.2445120767221958,0.4236659304686309,0.6050080229077656,-5.63888888888889,-78.5311111111111,-0.8660254037844385,-0.5000000000000004,8,3,-1.0,-1.8369701987210297e-16
2021-09-01,AMAZONAS,BAGUA,-0.1933405759199006,0.2941809181183597,0.6658552933471521,0.2295133312580555,-0.0139409828853855,-0.2559668104215468,-0.4219406315866103,0.1241160623430944,-0.6703834517058431,0.6354861641845374,0.8768837197207773,0.4910671180794382,0.6137115769824045,-5.63888888888889,-78.5311111111111,-1.0,-1.8369701987210297e-16,9,3,-1.0,-1.8369701987210297e-16
2021-10-01,AMAZONAS,BAGUA,-0.1917636790617798,0.3027765869426727,1.581484181298802,0.0467344080474649,-0.0139409828853855,-0.2625645293845519,-0.1530834088596592,0.4508155900147316,-0.4013604059668116,0.7286457922794207,1.0874345060034083,0.6193886098769372,0.2655694139968358,-5.63888888888889,-78.5311111111111,-0.8660254037844386,0.5000000000000001,10,4,-2.4492935982947064e-16,1.0
