fecha,real,predicho
2024-09-01,0.2567654659377612,-0.22350557
2024-10-01,0.297620518392512,0.1555502
2024-11-01,0.3055083109841541,0.6657465
2024-12-01,0.8785322146501661,0.9687103
2025-01-01,-0.6167808069935387,1.0005051
2025-02-01,-0.6143932070638952,0.029290251
2025-03-01,-0.982300065148869,-0.2544157
2025-04-01,-1.3106564779122274,-0.4748747
2025-05-01,-1.5653877118769894,-0.86147404
2025-06-01,-1.8739420789737344,-0.647212
2025-07-01,-1.589559912285469,-1.1614455
2025-08-01,-1.5944683038120486,-1.3466579
