fecha,real,prediccion,error_abs
2024-11-01,-0.014216712077393306,0.02585583996177917,0.040072552039172475
2024-12-01,0.00587722218731231,0.03114839506741637,0.02527117288010406
2025-01-01,-0.05415203998215808,0.03406225088084072,0.08821429086299881
2025-02-01,-0.04198527293053156,0.03171134921159442,0.07369662214212598
2025-03-01,-0.04995053860404242,0.029107416672583066,0.07905795527662549
2025-04-01,-0.06485905108512427,0.013294166776650665,0.07815321786177494
2025-05-01,-0.08599484387047594,-0.01372081529355073,0.07227402857692522
2025-06-01,-0.1112783101261548,-0.035970526527956556,0.07530778359819824
2025-07-01,-0.10193916022060828,-0.039370190571681174,0.06256896964892711
2025-08-01,-0.11173165018831348,-0.03362615098946209,0.07810549919885139
