loss,mae,val_loss,val_mae,learning_rate
1.6339349746704102,1.0395596027374268,0.3223055601119995,0.24981823563575745,0.0010000000474974513
1.4259603023529053,0.9560678005218506,0.298847496509552,0.21213309466838837,0.0010000000474974513
1.2888654470443726,0.9005227088928223,0.2804974913597107,0.16803324222564697,0.0010000000474974513
1.1535807847976685,0.8344847559928894,0.26728588342666626,0.14008325338363647,0.0010000000474974513
1.0101932287216187,0.7711784243583679,0.26382437348365784,0.17852362990379333,0.0010000000474974513
0.8555043935775757,0.6683799624443054,0.29112857580184937,0.23569945991039276,0.0010000000474974513
0.6637492179870605,0.5409338474273682,0.3633068799972534,0.3409833014011383,0.0010000000474974513
0.48223811388015747,0.38629385828971863,0.4748803973197937,0.4446156919002533,0.0010000000474974513
0.47619378566741943,0.43119490146636963,0.571315348148346,0.534332275390625,0.0010000000474974513
0.36701786518096924,0.3047889471054077,0.6834310293197632,0.6340436339378357,0.0010000000474974513
0.34210512042045593,0.28448939323425293,0.7402120232582092,0.6641008257865906,0.0010000000474974513
0.31332311034202576,0.27639666199684143,0.729211688041687,0.6374189257621765,0.0010000000474974513
0.278645396232605,0.23859189450740814,0.6004821062088013,0.5528013706207275,0.0010000000474974513
0.2769269645214081,0.21661347150802612,0.5339117646217346,0.5090122818946838,0.0005000000237487257
0.2630311846733093,0.22033409774303436,0.5060842633247375,0.4845966696739197,0.0005000000237487257
0.24248895049095154,0.19064830243587494,0.49898967146873474,0.47837597131729126,0.0005000000237487257
0.25506752729415894,0.22650961577892303,0.5208867192268372,0.5039971470832825,0.0005000000237487257
0.2508605718612671,0.21531595289707184,0.5495933294296265,0.5334240198135376,0.0005000000237487257
0.289771169424057,0.27081775665283203,0.5430852174758911,0.5187592506408691,0.0005000000237487257
0.2356085479259491,0.20331567525863647,0.5366731882095337,0.5302141904830933,0.0005000000237487257
