fecha,real,predicho
2024-09-01,0.2567654659377612,0.6257893212599221
2024-10-01,0.297620518392512,0.7734704769798296
2024-11-01,0.3055083109841541,0.8400833184258171
2024-12-01,0.8785322146501661,0.7744037767677863
2025-01-01,-0.6167808069935387,0.5698743737170209
2025-02-01,-0.6143932070638952,0.3304970552593411
2025-03-01,-0.982300065148869,0.06136105260439506
2025-04-01,-1.3106564779122274,-0.2675146291798962
2025-05-01,-1.5653877118769894,-0.42807135252579037
2025-06-01,-1.8739420789737344,-0.5369785212186772
2025-07-01,-1.589559912285469,-0.4599077162500186
2025-08-01,-1.5944683038120486,-0.30090843653854216
