fecha,real,predicho
2024-09-01,-0.7064649719407692,-0.717794520157891
2024-10-01,-0.7064901212933992,-0.7154534872819137
2024-11-01,-0.706486936191324,-0.7106543671778226
2024-12-01,-0.7063658675468473,-0.7050548249721484
2025-01-01,-0.7067275518891989,-0.7085025929350544
2025-02-01,-0.7066542454886107,-0.7102279123354484
2025-03-01,-0.7067022372808244,-0.7079594629078112
2025-04-01,-0.7067920630647385,-0.7095448695865169
2025-05-01,-0.7069194090463046,-0.7078865002922037
2025-06-01,-0.7070717453158931,-0.7026999795742855
2025-07-01,-0.7070154756872215,-0.7053893046687902
2025-08-01,-0.7070744767504689,-0.7069777446856355
