fecha,real,predicho
2024-09-01,-0.7064649719407692,-0.7064577
2024-10-01,-0.7064901212933992,-0.7063894
2024-11-01,-0.706486936191324,-0.7063894
2024-12-01,-0.7063658675468473,-0.7063894
2025-01-01,-0.7067275518891989,-0.7061752
2025-02-01,-0.7066542454886107,-0.70610356
2025-03-01,-0.7067022372808244,-0.70610356
2025-04-01,-0.7067920630647385,-0.7062461
2025-05-01,-0.7069194090463046,-0.7062461
2025-06-01,-0.7070717453158931,-0.7064603
2025-07-01,-0.7070154756872215,-0.7064436
2025-08-01,-0.7070744767504689,-0.7064436
