fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg
2021-02,CUSCO,LA CONVENCION,115.9,0.0,1.06
2021-02,HUANCAVELICA,CASTROVIRREYNA,0.3,0.0,2.5
2021-02,HUANUCO,HUAMALIES,9.0,0.0,1.2
2021-02,HUANUCO,HUANUCO,2.2,0.0,0.85
2021-02,HUANUCO,LEONCIO PRADO,58.5,0.0,1.0950000000000002
2021-02,HUANUCO,MARAÑON,3.5,0.0,0.9
2021-02,HUANUCO,PUERTO INCA,1.2,0.0,2.2
2021-02,ICA,PISCO,2.0,0.0,1.5
2021-02,JUNIN,CHANCHAMAYO,105.75,0.0,0.72
2021-02,JUNIN,HUANCAYO,15.3,0.0,0.65
2021-02,JUNIN,SATIPO,204.28,0.0,0.6300000000000001
2021-02,LA LIBERTAD,ASCOPE,2.6,0.0,1.0
2021-02,LA LIBERTAD,BOLIVAR,6.08,0.0,1.0
2021-02,LA LIBERTAD,CHEPEN,15.3,0.0,0.9
2021-02,LA LIBERTAD,GRAN CHIMU,0.63,0.0,1.0
2021-02,LA LIBERTAD,OTUZCO,1.34,0.0,1.0
2021-02,LA LIBERTAD,PATAZ,10.15,0.0,1.0
2021-02,LA LIBERTAD,SANCHEZ CARRION,4.23,0.0,1.0
2021-02,LA LIBERTAD,VIRU,1.3,0.0,0.9
2021-02,LAMBAYEQUE,FERREÑAFE,20.0,0.0,0.35
2021-02,LAMBAYEQUE,LAMBAYEQUE,25.0,0.0,0.4
2021-02,LORETO,ALTO AMAZONAS,35.0,0.0,0.7875000000000001
2021-02,LORETO,DATEM DEL MARAÑON,42.0,0.0,0.9120000000000001
2021-02,LORETO,LORETO,63.0,0.0,0.9460000000000001
2021-02,LORETO,MARISCAL RAMON CASTILLA,44.0,0.0,0.91
2021-02,LORETO,MAYNAS,159.0,0.0,0.775
2021-02,LORETO,PUTUMAYO,12.0,0.0,0.9450000000000001
2021-02,LORETO,REQUENA,46.0,0.0,0.7683333333333334
2021-02,LORETO,UCAYALI,48.0,0.0,0.966
2021-02,MADRE DE DIOS,MANU,11.0,0.0,1.35
2021-02,MADRE DE DIOS,TAHUAMANU,10.9,0.0,1.4000000000000001
2021-02,MADRE DE DIOS,TAMBOPATA,34.4,0.0,1.5
2021-02,PIURA,AYABACA,54.0,0.0,0.75
2021-02,PIURA,HUANCABAMBA,16.0,0.0,0.8285714285714286
2021-02,PIURA,MORROPON,34.0,0.0,0.8
2021-02,PIURA,PAITA,9.0,0.0,1.0
2021-02,PIURA,PIURA,50.0,0.0,0.8
2021-02,PIURA,SECHURA,8.0,0.0,0.8
2021-02,PIURA,SULLANA,23.0,0.0,1.0
2021-02,SAN MARTIN,BELLAVISTA,22.0,0.0,0.6333333333333333
2021-02,SAN MARTIN,EL DORADO,8.0,0.0,0.62
2021-02,SAN MARTIN,HUALLAGA,37.0,0.0,0.9833333333333334
2021-02,SAN MARTIN,LAMAS,86.0,0.0,0.9857142857142858
2021-02,SAN MARTIN,MARISCAL CACERES,29.0,0.0,1.25
2021-02,SAN MARTIN,MOYOBAMBA,50.0,0.0,0.9133333333333334
2021-02,SAN MARTIN,PICOTA,90.0,0.0,1.3333333333333333
2021-02,SAN MARTIN,RIOJA,22.0,0.0,0.5
2021-02,SAN MARTIN,SAN MARTIN,48.0,0.0,1.2307692307692308
2021-02,SAN MARTIN,TOCACHE,43.0,0.0,0.6333333333333333
2021-02,TUMBES,CONTRALMIRANTE VILLAR,15.0,0.0,0.63
2021-02,TUMBES,TUMBES,42.790000000000006,0.0,0.8375
2021-02,UCAYALI,ATALAYA,33.78,0.0,0.62
2021-02,UCAYALI,PURUS,26.52,0.0,0.72
2021-03,AMAZONAS,BAGUA,37.8,0.0,1.4000000000000001
2021-03,AMAZONAS,CHACHAPOYAS,23.45,0.0,1.65
