año,mes,produccion_t_sutil,precio_chacra_kg_sutil,n_provincias_sutil,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas,avg_sentiment,n_noticias
2017,3,16544.593,0.786984,81,24.038,30.6888,1.6156,9.3278,83.619,23.6466,23036.6438,12554.5537,35591.1975,565.6003,757.1534,-0.1232,42
2017,4,19077.381,0.708256,89,23.9028,30.6549,1.8596,1.8769,79.8815,4.2346,3188.2552,1045.8432,4234.0984,57.5299,146.7784,-0.2017,33
2017,5,18000.841,0.627203,93,22.9788,30.2694,2.0664,1.6234,78.4184,1.6771,2992.2277,281.8171,3274.0449,16.8853,46.6127,0.1306,53
2017,6,15051.842,0.881232,91,22.0033,29.7583,2.2538,0.7465,75.5595,0.3585,184.9746,0.6565,185.6311,0.3031,7.1361,0.1383,29
2017,7,8452.017,2.393017,84,21.4864,30.4145,2.1915,0.2963,71.2018,0.2959,157.7373,2.1448,159.8821,0.2876,1.5427,0.0226,31
2017,8,4951.691,4.889718,76,22.4229,30.977,2.3254,0.9433,69.5746,0.8733,38.6361,5.5674,44.2034,0.006,1.1157,0.0736,34
2017,9,4851.691,4.05488,72,22.9105,31.756,2.3958,1.2326,68.8421,1.0645,13.921,14.6773,28.5983,0.0161,0.0,0.0713,39
2017,10,6007.346,2.777446,61,23.3569,33.0211,2.6512,1.7425,67.7124,0.5441,9.1888,0.5653,9.7541,0.1232,0.639,0.0624,29
2017,11,10117.125,1.306112,63,22.86,31.5176,2.9118,1.3805,67.0757,0.4223,44.7121,6.1054,50.8175,1.3223,1.45,0.1775,31
2017,12,22283.255,0.589344,63,24.5563,33.3237,3.2082,0.7379,66.3501,0.9222,4.3275,0.8365,5.1639,0.0045,0.1031,0.1317,31
2018,1,28808.101,0.501774,72,24.9544,33.594,2.9257,1.1665,67.2758,1.8444,16.13,1.7891,17.9191,0.0458,0.507,0.2431,31
2018,2,29894.931,0.656243,75,25.4728,33.6579,2.5311,1.6645,67.6484,0.9578,126.8546,0.778,127.6326,0.1524,0.3862,0.0165,26
2018,3,28418.099,0.707008,80,25.6954,33.7685,2.4261,1.2699,64.8946,1.2695,114.2091,11.1819,125.3911,0.192,1.0797,0.0505,25
2018,4,26397.253,0.674604,88,25.0707,33.7793,2.3145,1.1365,66.3508,1.8446,42.5359,16.1887,58.7246,0.7238,5.3682,0.0877,23
2018,5,25443.757,0.543181,94,23.9298,33.1527,2.7212,1.0015,67.7404,0.8467,65.5851,6.2721,71.8572,0.0038,0.0888,0.0227,26
2018,6,24513.487,0.539869,90,22.7343,33.2683,3.1216,0.3385,67.7617,1.8549,205.8731,1.1271,207.0003,0.0405,10.9343,0.0866,18
2018,7,17554.156,0.842294,86,22.2228,31.347,2.9825,0.3265,68.2315,0.7114,14.6702,0.2311,14.9013,0.0002,0.3733,-0.1665,17
2018,8,17956.934,0.89215,78,22.4702,32.4514,3.3685,0.4671,67.7177,0.9886,32.2944,2.1435,34.4378,0.0,0.0,0.1084,26
2018,9,13247.538,1.047858,73,22.6372,31.4186,3.2025,0.3576,67.3154,0.8524,7.8289,0.4009,8.2298,0.0,0.0,0.2745,20
2018,10,12761.937,1.205817,60,22.4726,30.9453,2.9708,0.8461,68.9323,1.5115,25.1047,2.1896,27.2943,0.0,0.2985,0.2326,22
2018,11,13177.12,1.763596,62,23.8453,31.9931,3.022,0.969,69.3637,2.0104,4.0543,7.1158,11.17,0.7087,1.4799,0.1474,20
2018,12,19931.351,0.909035,63,24.9305,33.6341,3.215,1.3039,67.0463,0.6223,19.6226,6.4886,26.1112,0.6659,1.0616,0.1796,20
2019,1,27584.049,0.575167,71,25.8352,34.4905,2.9961,1.4839,68.2354,0.5585,8.2667,2.5434,10.8101,0.0092,0.0086,0.0846,33
2019,2,30881.452,0.676281,73,26.294,34.6195,2.5229,2.3302,72.6669,6.418,1143.5575,170.6675,1314.225,90.3254,98.8837,0.0034,31
2019,3,33259.076,0.713093,82,26.4735,34.872,2.329,2.4591,69.3445,2.145,175.1396,18.6497,193.7893,0.951,3.7003,0.0198,23
2019,4,31419.438,0.690938,89,25.9378,34.3417,2.6206,1.2787,66.3842,0.7941,86.5542,1.8758,88.4299,1.0177,17.9495,0.2209,22
2019,5,31249.52,0.647441,93,25.2422,33.8728,2.9748,0.5134,66.8091,0.172,20.6181,0.1632,20.7813,7.4286,6.1339,0.0958,23
2019,6,27073.952,0.643754,91,24.1973,36.4891,3.3805,0.4598,65.5441,0.1572,6.913,0.1167,7.0297,0.1679,0.2319,0.119,9
2019,7,18112.825,0.899805,87,22.6997,32.4973,3.2355,0.5777,66.2873,0.375,132.7422,0.3761,133.1182,22.4839,0.664,0.2805,15
2019,8,12990.996,1.50336,79,22.37,32.4186,3.1269,0.3287,65.4759,0.4718,3.8966,7.6814,11.578,0.6041,0.9439,0.3547,14
2019,9,16132.229,1.04723,71,22.592,32.0343,3.3897,0.4391,66.3873,0.2493,4.2482,1.0946,5.3428,0.1169,0.0062,0.2335,15
2019,10,17684.539,0.870299,63,22.6974,31.3033,3.3184,0.832,66.9702,0.3702,11.0743,5.9731,17.0474,0.0437,0.159,0.2691,12
2019,11,21926.512,1.385853,62,23.7237,33.0544,3.2197,1.1511,67.9816,0.8452,7.1498,0.2079,7.3577,0.0234,0.017,0.0087,8
2019,12,22144.552,0.880316,61,24.8867,33.3294,3.2737,1.31,69.5234,0.4718,5.6359,0.3999,6.0357,0.02,0.0148,0.0861,18
2020,1,24717.906,0.744805,74,25.6377,34.2526,2.9701,1.2332,69.0152,1.9688,38.1897,3.4903,41.68,1.3135,2.1703,0.1904,17
2020,2,28863.261,0.611889,74,26.1394,34.3853,2.7732,2.2322,70.53,3.0308,32.3882,3.7078,36.096,1.3989,4.5081,0.1154,15
2020,3,31899.279,0.855404,84,26.3503,34.5316,2.5401,1.4461,69.3097,0.9943,11.8544,0.4454,12.2998,0.7435,1.2822,0.0337,15
2020,4,31472.253,0.762802,88,25.9601,34.9013,2.6011,0.7915,66.423,1.0072,9.7801,2.8392,12.6193,13.5893,7.7541,-0.0336,12
2020,5,35010.363,0.639604,91,25.1432,34.9333,3.0091,0.5961,66.9669,0.1244,0.8812,0.7404,1.6216,0.8435,0.7228,0.1358,16
2020,6,26948.624,0.770617,89,23.2286,32.3942,3.0454,0.8273,67.6707,0.1057,10.9506,0.3378,11.2884,2.1725,3.0965,0.0552,19
2020,7,15387.758,1.128537,89,22.2972,31.3485,2.7673,0.9748,67.3905,0.2849,22.865,1.9769,24.8419,2.142,5.6236,0.177,13
2020,8,14809.668,1.427085,77,22.3145,31.9313,3.1622,0.2436,65.1698,0.5181,12.7152,0.2239,12.9391,1.294,2.269,-0.0208,6
2020,9,18989.793,1.478577,72,22.868,32.4045,3.4492,0.4083,64.5805,0.5254,14.7549,1.1294,15.8843,0.5555,1.0642,0.0121,13
2020,10,20949.041,1.410027,65,23.6841,33.4883,3.3933,0.2901,64.4801,2.389,20.2567,5.0673,25.324,8.0556,59.5164,0.2178,9
2020,11,22423.059,1.450999,67,22.8212,31.9194,3.0581,0.5959,66.6764,3.2318,17.8475,3.3173,21.1648,34.1425,19.0598,0.1826,11
2020,12,30110.522,1.20998,64,24.3032,32.9199,3.1804,0.8911,69.6939,2.7176,16.4826,0.5232,17.0058,2.1391,1.9737,0.182,15
2021,1,30304.336,0.911629,75,24.8667,33.3648,2.8732,1.3174,69.8353,3.229,25.1795,6.2838,31.4632,1.2667,2.2516,0.0698,13
2021,2,33363.635,0.794262,76,25.8101,34.177,2.7109,1.002,67.0802,3.5345,117.1352,10.8536,127.9888,70.2123,118.2396,0.0593,19
2021,3,35179.894,0.922755,88,25.6684,34.0207,2.3128,2.3979,68.883,10.0741,1816.9455,73.2808,1890.2262,10.3549,137.2885,0.1328,21
