año,mes,produccion_t_dulce,precio_chacra_kg_dulce,n_provincias_dulce,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas,avg_sentiment,n_noticias,mes_sin,mes_cos,produccion_t_dulce_lag1,produccion_t_dulce_lag3,produccion_t_dulce_lag6,T2M_lag1,T2M_lag3,T2M_lag6,WS2M_lag1,WS2M_lag3,WS2M_lag6,PRECTOTCORR_lag1,PRECTOTCORR_lag3,PRECTOTCORR_lag6,t_index
2016,7,0.4890101582575401,-0.5805652189851974,0.1499013547906181,-0.9031608583426644,-0.6358852971166458,0.1271398624083116,-0.5370744505082076,-0.0286647063985061,-0.5644276551233955,-0.1866857240205059,-0.1762520317587,-0.1916433974238257,-0.1518119281519321,-0.2306286944115077,1.1810783622348149,-0.9527006274883828,-0.4999999999999997,-0.8660254037844388,1.4017928446298868,0.9805082823046788,-1.1008687814425693,-0.5204050500980496,1.6424405365867487,1.5465664357816222,-0.2070041251406073,-0.6891174922400032,0.0811739153794147,-0.4613353515609479,-0.0390311223397617,-0.2115547690432404,-1.7129115371395962
2016,8,-0.2883575134343604,0.2821625816609597,0.1499013547906181,-0.6689961907840648,0.9540508816047296,1.086952669068331,-0.6919721772011298,-0.4689097993659351,-0.4194165974829975,-0.2538659080613068,-0.1860680033519837,-0.2472029200822003,-0.1924679743779195,-0.2373963357843331,1.2220377184791569,-0.2341833944664181,-0.8660254037844385,-0.5000000000000004,0.4585403797294268,1.4134714061222993,-0.4637450468993723,-0.8901417045901865,0.8153313487394088,1.9524209037421447,0.1500034454953548,-0.4561245381841168,-0.3814639893812843,-0.530135503563926,-0.4018600932562002,1.1148920615176765,-1.6744191430465716
2016,9,-0.3956227267344815,-0.1128370490915437,-0.8878772552982761,-0.5537905447231796,-0.3439506971019438,0.7330540957776098,-0.5444994307780365,-0.6282088439406844,-0.4311426323503542,-0.2547818366844098,-0.1555570587832549,-0.2402978924725359,-0.1869616665399519,-0.2041052372285751,0.7029405709743302,1.0830981994071838,-1.0,-1.8369701987210292e-16,-0.3160774533063066,1.346110094503023,0.1644149741380567,-0.653729875938761,-0.5205312146357356,1.9047078626543632,1.124286010711636,-0.1644181866554083,-1.3843939409983943,-0.6848569463137426,-0.468418261777255,0.9568152373105708,-1.635926748953547
2016,10,-0.9130865369526778,0.1033264676916643,-0.8878772552982761,-0.6764263421590041,-0.3968894059600135,0.8002449798333695,-0.4528720146822742,-0.5725669317590169,-0.5802346766035213,-0.2603502107005798,-0.183474878613648,-0.2516802875976391,-0.1910041857104349,-0.2317307689572711,1.1860937936116729,0.4843338385555465,-0.8660254037844386,0.5000000000000001,-0.4229632296414808,0.4048652260450417,0.980133493622743,-0.5374186589640353,-0.8886229047686723,1.5307110252047602,0.765052202390303,0.2002664370842393,-0.6602382508201244,-0.537552033711036,-0.5373478614807702,-0.0810549653613306,-1.5974343548605223
2016,11,-1.3595394999900334,1.5286295000156298,-0.8878772552982761,-0.4535218009108778,-0.0316431828911251,0.4800415383094823,-0.5726985579730254,-0.8987410371846128,-0.5310451846309436,-0.2592985897806014,-0.1857989061721389,-0.2514301196004591,-0.1854337516165904,-0.197632268194189,-0.0184456420637786,0.3645809663852191,-0.5000000000000004,0.8660254037844384,-0.9385965778526728,-0.368103928546955,1.4110918175332798,-0.6612313307569466,-0.6532628761687161,0.7421245630416408,0.8332560296603253,1.1954998717115988,-0.4287138642014261,-0.446028895725423,-0.6923604131075971,-0.4416775414600458,-1.5589419607674977
2016,12,-1.7745784847335213,2.1626586765921627,-0.5419510519353113,0.0377873838195282,-0.6686826021672039,-0.5742771408800036,0.0090565450832583,0.2688522939827055,-0.4612331069751723,-0.2595785380260185,-0.1894985482816244,-0.2525764504841282,-0.0925759405481567,0.1340081884641534,-2.486037879478028,0.0053223498742367,-2.4492935982947064e-16,1.0,-1.3834702706674211,-0.4747622117004976,1.344042416891744,-0.4361876862114296,-0.537469129680549,-0.531520015287715,0.5082253275960651,0.8285411375064552,-0.1388461538917701,-0.5657190684186773,-0.5447783458524794,-0.5078309639164986,-1.520449566674473
2017,1,-0.9399929907672931,1.0914053412019975,-0.1960248485723466,0.4319684041847693,-0.4097768175916434,-1.2657251702728056,1.2783332254649862,1.161175254502645,0.9903738311868236,0.8273596905882574,0.2993565912270987,0.7288697012299729,-0.1719774980833709,0.351679698145972,-2.796994624843238,-0.7131948831477279,0.4999999999999999,0.8660254037844387,-1.7970411081163606,-0.9892980979765108,0.407155904887284,0.0598363468177614,-0.6607309568930213,-0.8824677836579915,-0.5619878433353219,0.8982116126766714,0.2235398425548876,0.0153739585330815,-0.4530830067973446,-0.5763413966742502,-1.4819571725814484
2017,2,-0.2065147381972233,0.2107565538390197,0.4958275581535829,0.7046626195948491,-0.6221490140601771,-1.961758927657544,2.955114940017436,2.43688517914864,2.4401307220843647,2.2254923896743595,1.279060548505677,2.079044753722872,-0.0642103325235459,0.491853856179914,-1.288185685638387,1.681862560258821,0.8660254037844386,0.5000000000000001,-0.9654078535302314,-1.4332249320484711,-0.3622340800155241,0.4578001251102784,-0.4366885351639177,-0.6580696811882283,-1.263859869959764,0.5661914847141578,1.212500265964303,1.283206117404475,-0.5729983769237579,-0.730411303369148,-1.4434647784884238
2017,3,0.2446468542576901,-0.6052616803591262,1.1876799648795124,-0.0672305289128364,-1.8828002500739824,-2.704447482873285,6.496040637207808,4.039478668938393,5.785723547232534,4.915762122132979,8.731438984058856,6.069087142768578,2.2255074103212427,3.481077831947278,-1.7671593821283482,2.400379793280785,1.0,6.123233995736766e-17,-0.2345241864128665,-1.8459155350184444,-0.4683984908173743,0.733111250396204,0.0571286789152818,-0.5476690445789653,-1.9703867571990747,-0.5270354372446039,0.847854492895813,2.9580795425411943,0.0091879783702659,-0.5837266956183198,-1.404972384395399
2017,4,1.3417783125077687,-1.24599924768527,1.5336061682424773,-0.1707930511696985,-1.9089609239848957,-2.217961556772236,0.6106379252430219,3.0924766344257213,0.5043827387608518,0.4544842715287408,0.5535632533995818,0.4976789899115958,0.0534639120608954,0.4834006890312151,-2.4233449872673,1.3226039437478387,0.8660254037844387,-0.4999999999999998,0.2150414796454549,-1.0160523091632023,-0.9805518612617808,-0.0461893702516213,0.4533219099180177,-0.6651899350120987,-2.7242717915635635,-1.2440004458211895,0.9170858312192391,6.4949754301438345,1.2794055674021287,-0.4925889639680998,-1.3664799903023743
2017,5,1.2476750706870643,-1.2075793355207067,0.1499013547906181,-0.8785724192565311,-2.206451773325812,-1.8056447964538065,0.4104004254130585,2.7217585938383,-0.1914254787162928,0.4104236094022787,0.0106605102312438,0.3271003952520254,-0.1202951559135279,-0.0085336618091493,0.354368090282683,3.717661387154388,0.4999999999999999,-0.8660254037844387,1.3082919757657003,-0.286724237715683,-1.422423128873827,-0.1507457301916697,0.7274081715522485,-0.4515823202960344,-2.230451795899308,-1.9657204126438144,0.5871584444316359,0.6162706989627619,2.957430272111095,-0.6117751182037754,-1.3279875962093497
2017,6,1.6582689428287043,-1.0120776622463037,0.4958275581535829,-1.625800529179373,-2.6008683053573125,-1.4320076548499676,-0.2822554467798203,1.9973748837464511,-0.5501714085561219,-0.2205563823976642,-0.1891269852625041,-0.2216370300385689,-0.1911854492603805,-0.2024113624031125,0.4187327929523637,0.8435924550665289,1.2246467991473532e-16,-1.0,1.2145216121202178,0.1618845833139489,-1.8332028021664797,-0.8653173025630008,-0.048425328023069,0.0192352882224661,-1.8119191110494388,-2.7358169111870043,-0.4991778079549428,0.4162610827614436,6.500980840355562,-0.0331290892349219,-1.289495202116325
2017,7,0.5961713517619863,-0.7254472923461005,0.4958275581535829,-2.021743338014961,-2.094477915376741,-1.5562210695880634,-0.6378646082135461,0.8932275216606005,-0.5672027260200785,-0.226678449314485,-0.1880694269504812,-0.2262120128222255,-0.19125171305812,-0.2298817000335637,-0.5484095575517983,1.0830981994071838,-0.4999999999999997,-0.8660254037844388,1.6236630609842817,1.2528082306970638,-1.0071821892881048,-1.619716186597886,-0.1525165150257323,0.3969757642804939,-1.43264916355976,-2.231377862476834,-1.2116237465473512,-0.2756065008556606,0.6112153078908751,1.2293641951507543,-1.2510028080233004
2017,8,-0.0076982353969593,-0.2146608372552955,0.8417537615165477,-1.3043890325892922,-1.6603959367664545,-1.289251948666217,-0.1268047960242511,0.4809300740193905,-0.4101119480058837,-0.2534485592840362,-0.1856373910177192,-0.2467653570661099,-0.1924555766351166,-0.2319787848421243,-0.1220978905188487,1.442356815918166,-0.8660254037844385,-0.5000000000000004,0.5653225042256415,1.1592374456961858,-0.2812312111065869,-2.019458660362757,-0.8639089469078333,0.6582964200843399,-1.558735170649445,-1.803845094963461,-1.9287946726217744,-0.6308109553481004,0.4108293729729727,2.89718468434978,-1.2125104139302758
2017,9,-0.038418748386327,0.8346464769682808,-0.1960248485723466,-0.930889876875937,-1.059240627722163,-1.1488887962173904,0.1017108201525076,0.2953303441784449,-0.3580929719817859,-0.2590037169559022,-0.179164065433699,-0.2495380109104238,-0.1924123982894928,-0.2374582169754054,-0.1413237107968052,2.041121176769803,-1.0,-1.8369701987210292e-16,-0.0364109715480195,1.5675080874881506,0.1653003639100661,-1.2952202647721176,-1.6149514980993809,-0.0814025261334528,-1.287741328766478,-1.4164193665688465,-2.694037210469733,-0.120332763307655,-0.282339961660197,6.419186610570522,-1.1740180198372512
2017,10,-0.3988820136656336,0.3094178149350978,-0.5419510519353113,-0.5889497146313888,-0.0829613190290562,-0.6396736096345715,0.5044765052148282,0.0090886857466146,-0.4996760008674579,-0.2600673629510552,-0.1891917902870667,-0.2528861755215459,-0.1919545368225314,-0.2343199565710255,-0.2157192762202023,0.8435924550665289,-0.8660254037844386,0.5000000000000001,-0.0670228146540981,0.51142007796977,1.2511725796432418,-0.9181368246333064,-2.0129155111295303,-0.1806456515960373,-1.1452621169026933,-1.545216713841976,-2.1927776688995264,0.1079227868581885,-0.6382127344414185,0.5652372592547982,-1.1355256257442266
2017,11,-0.9476211091167978,0.7271301400827158,-0.8878772552982761,-0.9695726237248384,-1.2432142165233933,-0.1200906902004183,0.2185357756746046,-0.1522373865943146,-0.5328136121631436,-0.2520828703726315,-0.1852550982193128,-0.245590189345834,-0.1868282839277279,-0.2303369687964526,0.7464076429071014,1.0830981994071838,-0.5000000000000004,0.8660254037844384,-0.4262109872622162,-0.0890326823748454,1.1580350664171546,-0.5729152338253382,-1.2918992638810594,-0.8589048818284877,-0.6283702034082226,-1.2683954489965177,-1.7679396639949418,0.5102300977104653,-0.1267740760907959,0.3660698887950501,-1.097033231651202
2017,12,-1.3349214816802697,1.8482651524039235,-0.1960248485723466,0.329784672904702,0.1505554929308996,0.4708700823256102,-0.2890485138351958,-0.3360888049869286,-0.3968079316482562,-0.261160026464059,-0.1889990806087622,-0.253701744513489,-0.1924619892607043,-0.2369518716738537,0.3635630478069233,1.0830981994071838,-2.4492935982947064e-16,1.0,-0.9730089883872712,-0.1195793719514032,1.5644152447961794,-0.957190790439315,-0.9164934740696816,-1.5749675215381802,-0.1009542572192671,-1.1228523792047314,-1.3829559013299548,0.2246147877898453,0.1019109376044668,-0.3228842222745867,-1.0585408375581773
2018,1,-0.7808427033844522,0.6207542296245845,0.4958275581535829,0.6347272772719832,0.3591463530524287,-0.0923769427708913,0.0494989908082846,-0.1015363545927115,-0.1459088746952072,-0.2585072049734643,-0.1883221807579034,-0.2514354498844899,-0.1922854283028564,-0.2349682357155923,1.2947614734436013,1.0830981994071838,0.4999999999999999,0.8660254037844387,-1.3589393354469748,-0.4780030568700197,0.5132173633900634,0.3546357877138127,-0.5728077797058609,-1.9543963052039308,0.4989156063663292,-0.5948452765794143,-1.5109414318210364,-0.2823918369476975,0.5049751909166499,-0.6765929014894921,-1.0200484434651527
2018,2,-0.0810668646131013,-0.1364218342841082,0.8417537615165477,1.0318190785882322,0.4084580658225548,-0.8791283626048007,0.4428649668056089,-0.0071275363828349,-0.387122390087284,-0.2336198846245966,-0.1890406496212283,-0.2319419793172946,-0.1918297043777576,-0.2355615093569836,-0.5993997765498569,0.4843338385555465,0.8660254037844386,0.5000000000000001,-0.8068205399219917,-1.0236372659429345,-0.0844550501491875,0.6625047736023697,-0.955373688149818,-1.2669614901469075,-0.0728227082859345,-0.0560878335717489,-1.2358649866724678,0.055770378057766,0.2188224948997638,-0.1682643465093859,-0.9815560493721281
2018,3,0.5327886229306501,-1.5318437775262317,0.8417537615165477,1.2023295627182418,0.4938082290835326,-1.08847681441058,0.1311737737764037,-0.7048811691964793,-0.3023194882739405,-0.2364621853370995,-0.1816478316930854,-0.2323402403724644,-0.1916604110622424,-0.2321555882451879,-0.3151919985278905,0.3645809663852191,1.0,6.123233995736766e-17,-0.1095200686275478,-1.4087462078956996,-0.114860295808109,1.063407266153558,0.3506165523281139,-0.9090402773099562,-0.871434881601981,0.5566815682220809,-1.0912392828751627,0.448688677340829,-0.2891380643832501,0.0590300135458608,-0.9430636552791035
2018,4,1.556544517311541,-1.798377725423668,1.879532371605442,0.723812494272522,0.5021426030728472,-1.3109843117584368,0.0258022452662771,-0.3359114400573855,-0.1458544615403703,-0.2525720099725325,-0.1780900926911125,-0.2441852863838297,-0.1893869215372182,-0.2110938828552301,-0.0042352531626803,0.1250752220445642,0.8660254037844387,-0.4999999999999998,0.502163983686238,-0.8578025290769721,-0.4716243295215941,1.235554054043015,0.6571158241162787,-0.5813617920547978,-1.083939387932911,-0.0273513467804727,-0.5665602381332336,0.1373522096759762,0.0496604038842565,0.4596431977566122,-0.9045712611860789
2018,5,1.5029396492736602,-1.9313571969116887,1.1876799648795124,-0.1501111865178097,0.0185945714333728,-0.5001079750973848,-0.0808331096727566,0.0161832829282458,-0.4173488975991944,-0.2473912929125014,-0.1851366442983196,-0.2418519367817228,-0.1924649818193119,-0.2370221019145151,-0.5475736523223219,0.4843338385555465,0.4999999999999999,-0.8660254037844387,1.5222984726043571,-0.1619861757653602,-1.0147320245532998,0.7524448968348211,1.0562346949903925,-0.9461096400012317,-1.3098013203760706,-0.8431367919486412,-0.0311986129971848,0.0321006009925212,0.44331798017268,0.1752306213998913,-0.8660788670930543
2018,6,1.4842230207051947,-2.218648822471496,0.4958275581535829,-1.0658581936041822,0.107803241170883,0.2982074544553195,-0.6045311861511221,0.0215802443557054,-0.1430521840662688,-0.2158590733596473,-0.1887925856511099,-0.2178402331881858,-0.1923080862465996,-0.1837576211387687,-0.0134302106869204,-0.473689138807073,1.2246467991473532e-16,-1.0,1.4688832249271588,0.44839598254545,-1.3980577514270616,-0.1298653920379612,1.2276155990347168,0.2990539230326501,-0.4867005325209356,-1.0602109727460505,0.5777084694676076,-0.0744133958010801,0.1313957319730577,-0.3296409851383099,-0.8275864730000296
2018,7,0.6872926927733384,-1.722275824077,0.4958275581535829,-1.4576646295093945,-1.374866457502798,0.0208706006821396,-0.6140098843679251,0.140617449924681,-0.4541593968463723,-0.2588353209499074,-0.1894292665941808,-0.251971640922764,-0.1924803721207224,-0.2356248639097481,-2.1291063464916173,-0.5934420109774005,-0.4999999999999997,-0.8660254037844388,1.4502328040370225,1.4663592411227953,-0.8496651717097193,-1.0544003647326865,0.7466558022849882,0.591277948525657,0.3236499849543429,-1.2909298163364398,-0.0026432538667508,-0.5975154689429895,0.0259460920596527,0.0070972199072442,-0.789094078907005
2018,8,0.1562300279338895,-1.8543257042754315,0.8417537615165477,-1.268157469699133,-0.522599546965553,0.7904753854157662,-0.5029511369277166,0.0104315916417072,-0.378742764242398,-0.2548739689893448,-0.1880703507063137,-0.2485004711238239,-0.1924812271374674,-0.2374582169754054,0.1687971293389286,0.4843338385555465,-0.8660254037844385,-0.5000000000000004,0.6561215151542806,1.4130576812070408,-0.1570707384271534,-1.4499667708668176,-0.1317290738343714,0.9718078023703564,0.0421321103768921,-0.4501291560478076,-0.8132867583897163,-0.6069833797690873,-0.0807683111510644,0.3983609299228437,-0.7506016848139804
