fecha_evento,real,prediccion,ci_lower,ci_upper,error_abs
2024-09-01,-0.010571274328193905,-2.3024657542503046e-06,-0.04088589972767522,0.04088129479616672,0.010568971862439654
2024-10-01,-0.014745347976496629,0.020796802341862847,-0.03495469768444089,0.07654830236816659,0.03554215031835947
2024-11-01,-0.014216712077393306,0.029918216417126085,-0.03598506223890374,0.0958214950731559,0.04413492849451939
2024-12-01,0.00587722218731231,0.05656727857048154,-0.016950303331909423,0.13008486047287252,0.05069005638316923
2025-01-01,-0.05415203998215808,0.11681821422754586,0.03733639636232615,0.1963000320927656,0.17097025420970394
2025-02-01,-0.04198527293053156,0.14389575103672306,0.05962388285225104,0.22816761922119508,0.18588102396725462
2025-03-01,-0.04995053860404242,0.12469864445488973,0.03651705435472584,0.21288023455505362,0.17464918305893215
2025-04-01,-0.06485905108512427,0.08696033838580325,-0.004448418445066563,0.17836909521667305,0.15181938947092752
2025-05-01,-0.08599484387047594,0.0696745661347813,-0.024419781419406414,0.163768913688969,0.15566941000525725
2025-06-01,-0.1112783101261548,-0.00046029856858245677,-0.096803314779922,0.09588271764275709,0.11081801155757234
2025-07-01,-0.10193916022060828,-0.03587703527012489,-0.1341118327737155,0.06235776223346572,0.06606212495048339
2025-08-01,-0.11173165018831348,-0.06086536592737757,-0.16069765505422556,0.03896692319947044,0.05086628426093591
