fecha,real,prediccion,ci_lower,ci_upper,error_abs
2024-09-01,-0.010571274328193905,-0.0785351210454814,-0.1192193080503038,-0.03251384662951532,0.06796384671728749
2024-10-01,-0.014745347976496629,-0.004293481364801045,-0.04894262657792401,0.03797320287464573,0.010451866611695584
2024-11-01,-0.014216712077393306,0.010327895508108084,-0.033390833386437044,0.05616299054379729,0.02454460758550139
2024-12-01,0.00587722218731231,0.03652532263179581,-0.004585266911153582,0.08207765128504925,0.0306481004444835
2025-01-01,-0.05415203998215808,0.07561135239713981,0.028980487533895954,0.1148328228273467,0.1297633923792979
2025-02-01,-0.04198527293053156,0.08349155359224286,0.04288006564493698,0.12768701152809442,0.12547682652277442
2025-03-01,-0.04995053860404242,0.11191428379042018,0.0714727089866223,0.15618067800283505,0.1618648223944626
2025-04-01,-0.06485905108512427,0.0884325227543957,0.039029075140179025,0.1326323957991175,0.15329157383951997
2025-05-01,-0.08599484387047594,0.06411052425083205,0.020188151118532848,0.1079741208530659,0.15010536812130798
2025-06-01,-0.1112783101261548,-0.005331722484424269,-0.05176530259975656,0.039343459041588785,0.10594658764173054
2025-07-01,-0.10193916022060828,-0.03312132185042841,-0.08146457352942446,0.014019428003022485,0.06881783837017988
2025-08-01,-0.11173165018831348,-0.038003550145979066,-0.08013849598449324,0.006139846801472603,0.0737281000423344
