fecha,real,prediccion,error_abs,sentiment
2024-11-01,-0.014216712077393306,0.10355054857285177,0.11776726065024508,-0.0232
2024-12-01,0.00587722218731231,0.1018710613496215,0.09599383916230919,-0.249
2025-01-01,-0.05415203998215808,0.09731601740169918,0.15146805738385727,-0.3033
2025-02-01,-0.04198527293053156,0.0719993686414448,0.11398464157197635,-0.2148
2025-03-01,-0.04995053860404242,0.0490311163993999,0.09898165500344233,0.0431
2025-04-01,-0.06485905108512427,0.015897791877370056,0.08075684296249433,-0.0146
2025-05-01,-0.08599484387047594,-0.012051280738168406,0.07394356313230754,0.2114
2025-06-01,-0.1112783101261548,-0.02762325287680333,0.08365505724935147,0.1065
2025-07-01,-0.10193916022060828,-0.02710946762924615,0.07482969259136213,0.0873
2025-08-01,-0.11173165018831348,-0.02253284541425758,0.0891988047740559,0.0482
