loss,mae,val_loss,val_mae,learning_rate
1.525794506072998,1.001872181892395,0.32989221811294556,0.2611566483974457,0.0010000000474974513
1.3854925632476807,0.9373002052307129,0.3093230128288269,0.2301749289035797,0.0010000000474974513
1.1604962348937988,0.8309314250946045,0.2910495102405548,0.19646894931793213,0.0010000000474974513
1.0233943462371826,0.7690915465354919,0.27054092288017273,0.15496523678302765,0.0010000000474974513
0.804335355758667,0.6511567234992981,0.2527018189430237,0.1181502565741539,0.0010000000474974513
0.7178802490234375,0.5936243534088135,0.25014638900756836,0.14894501864910126,0.0010000000474974513
0.5268420577049255,0.4198504388332367,0.2764778137207031,0.19991916418075562,0.0010000000474974513
0.44007760286331177,0.39365628361701965,0.33795166015625,0.29835841059684753,0.0010000000474974513
0.3559015989303589,0.28319960832595825,0.42475539445877075,0.395857036113739,0.0010000000474974513
0.34679895639419556,0.303777813911438,0.5021918416023254,0.48670729994773865,0.0010000000474974513
0.32506605982780457,0.29077982902526855,0.5380982160568237,0.5421634912490845,0.0010000000474974513
0.28296950459480286,0.24515235424041748,0.5407566428184509,0.5418523550033569,0.0010000000474974513
0.290906697511673,0.23761363327503204,0.5313158631324768,0.5236698985099792,0.0010000000474974513
0.2698233127593994,0.23531366884708405,0.5255935192108154,0.5085197687149048,0.0010000000474974513
0.2461874634027481,0.1860457807779312,0.5173080563545227,0.5006029009819031,0.0005000000237487257
0.22632628679275513,0.16297182440757751,0.5207775831222534,0.49653148651123047,0.0005000000237487257
0.23672205209732056,0.1727973222732544,0.5203616619110107,0.5035035014152527,0.0005000000237487257
0.2310260683298111,0.1700562983751297,0.5237734913825989,0.5123337507247925,0.0005000000237487257
0.22357556223869324,0.15690526366233826,0.5313642024993896,0.5256574153900146,0.0005000000237487257
0.24195781350135803,0.18150779604911804,0.5349972248077393,0.5330489277839661,0.0005000000237487257
0.2530232071876526,0.23027144372463226,0.5477415323257446,0.5470312237739563,0.0005000000237487257
